,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,26.871
1,2016-01-01 00:15:00,KWH,26.874
2,2016-01-01 00:30:00,KWH,26.877
3,2016-01-01 00:45:00,KWH,26.880
4,2016-01-01 01:00:00,KWH,26.882
5,2016-01-01 01:30:00,KWH,26.887
6,2016-01-01 01:45:00,KWH,26.890
7,2016-01-01 02:00:00,KWH,26.892
8,2016-01-01 02:15:00,KWH,26.894
9,2016-01-01 02:30:00,KWH,26.898
10,2016-01-01 02:45:00,KWH,26.902
11,2016-01-01 03:00:00,KWH,26.906
12,2016-01-01 03:15:00,KWH,26.909
13,2016-01-01 03:30:00,KWH,26.912
14,2016-01-01 03:45:00,KWH,26.914
15,2016-01-01 04:00:00,KWH,26.917
16,2016-01-01 04:15:00,KWH,26.919
17,2016-01-01 04:30:00,KWH,26.922
18,2016-01-01 04:45:00,KWH,26.924
19,2016-01-01 05:00:00,KWH,26.926
20,2016-01-01 05:15:00,KWH,26.926
21,2016-01-01 05:30:00,KWH,26.926
22,2016-01-01 05:45:00,KWH,26.926
23,2016-01-01 06:00:00,KWH,26.926
24,2016-01-01 06:15:00,KWH,26.926
25,2016-01-01 06:30:00,KWH,26.926
26,2016-01-01 06:45:00,KWH,26.926
27,2016-01-01 07:00:00,KWH,26.926
28,2016-01-01 07:15:00,KWH,26.926
29,2016-01-01 07:30:00,KWH,26.926
30,2016-01-01 07:45:00,KWH,26.926
31,2016-01-01 08:00:00,KWH,26.926
32,2016-01-01 08:15:00,KWH,26.926
33,2016-01-01 08:30:00,KWH,26.926
34,2016-01-01 08:45:00,KWH,26.926
35,2016-01-01 09:00:00,KWH,26.926
36,2016-01-01 09:15:00,KWH,26.926
37,2016-01-01 09:30:00,KWH,26.926
38,2016-01-01 09:45:00,KWH,26.926
39,2016-01-01 10:00:00,KWH,26.926
40,2016-01-01 10:15:00,KWH,26.926
41,2016-01-01 10:30:00,KWH,26.926
42,2016-01-01 10:45:00,KWH,26.926
43,2016-01-01 11:00:00,KWH,26.926
44,2016-01-01 11:15:00,KWH,26.926
45,2016-01-01 11:30:00,KWH,26.926
46,2016-01-01 11:45:00,KWH,26.926
47,2016-01-01 12:00:00,KWH,26.926
48,2016-01-01 12:15:00,KWH,26.926
49,2016-01-01 12:30:00,KWH,26.926
50,2016-01-01 12:45:00,KWH,26.926
51,2016-01-01 13:00:00,KWH,26.926
52,2016-01-01 13:15:00,KWH,26.926
53,2016-01-01 13:45:00,KWH,26.926
54,2016-01-01 14:00:00,KWH,26.926
55,2016-01-01 14:15:00,KWH,26.926
56,2016-01-01 14:30:00,KWH,26.926
57,2016-01-01 14:45:00,KWH,26.926
58,2016-01-01 15:00:00,KWH,26.926
59,2016-01-01 15:15:00,KWH,26.926
60,2016-01-01 15:30:00,KWH,26.926
61,2016-01-01 15:45:00,KWH,26.926
62,2016-01-01 16:00:00,KWH,26.927
63,2016-01-01 16:15:00,KWH,26.930
64,2016-01-01 16:45:00,KWH,26.939
65,2016-01-01 17:00:00,KWH,26.943
66,2016-01-01 17:15:00,KWH,26.947
67,2016-01-01 17:30:00,KWH,26.952
68,2016-01-01 17:45:00,KWH,26.956
69,2016-01-01 18:00:00,KWH,26.960
70,2016-01-01 18:15:00,KWH,26.965
71,2016-01-01 18:30:00,KWH,26.969
72,2016-01-01 18:45:00,KWH,26.973
73,2016-01-01 19:00:00,KWH,26.977
74,2016-01-01 19:15:00,KWH,26.981
75,2016-01-01 19:30:00,KWH,26.985
76,2016-01-01 19:45:00,KWH,26.987
77,2016-01-01 20:00:00,KWH,26.989
78,2016-01-01 20:15:00,KWH,26.992
79,2016-01-01 20:30:00,KWH,26.994
80,2016-01-01 20:45:00,KWH,26.997
81,2016-01-01 20:45:59,KWH,26.997
82,2016-01-01 21:00:00,KWH,26.999
83,2016-01-01 21:15:00,KWH,27.002
84,2016-01-01 21:30:00,KWH,27.004
85,2016-01-01 21:45:00,KWH,27.008
86,2016-01-01 22:00:00,KWH,27.012
87,2016-01-01 22:15:00,KWH,27.014
88,2016-01-01 22:30:00,KWH,27.017
89,2016-01-01 23:00:00,KWH,27.022
90,2016-01-01 23:15:00,KWH,27.025
91,2016-01-01 23:30:00,KWH,27.027
92,2016-01-01 23:45:00,KWH,27.030
93,2016-01-02 00:00:00,KWH,27.032
94,2016-01-02 00:15:00,KWH,27.035
95,2016-01-02 00:30:00,KWH,27.038
96,2016-01-02 00:45:00,KWH,27.042
97,2016-01-02 01:00:00,KWH,27.046
98,2016-01-02 01:15:00,KWH,27.050
99,2016-01-02 01:30:00,KWH,27.054
100,2016-01-02 01:45:00,KWH,27.058
101,2016-01-02 02:00:00,KWH,27.062
102,2016-01-02 02:15:00,KWH,27.067
103,2016-01-02 02:30:00,KWH,27.071
104,2016-01-02 02:45:00,KWH,27.075
105,2016-01-02 03:00:00,KWH,27.079
106,2016-01-02 03:15:00,KWH,27.083
107,2016-01-02 03:30:00,KWH,27.087
108,2016-01-02 03:45:00,KWH,27.091
109,2016-01-02 04:00:00,KWH,27.094
110,2016-01-02 04:15:00,KWH,27.095
111,2016-01-02 04:30:00,KWH,27.095
112,2016-01-02 04:45:00,KWH,27.095
113,2016-01-02 05:00:00,KWH,27.095
114,2016-01-02 05:15:00,KWH,27.095
115,2016-01-02 05:30:00,KWH,27.095
116,2016-01-02 05:45:00,KWH,27.095
117,2016-01-02 06:00:00,KWH,27.095
118,2016-01-02 06:15:00,KWH,27.095
119,2016-01-02 06:30:00,KWH,27.095
120,2016-01-02 06:45:00,KWH,27.095
121,2016-01-02 07:00:00,KWH,27.095
122,2016-01-02 07:15:00,KWH,27.095
123,2016-01-02 07:30:00,KWH,27.095
124,2016-01-02 07:45:00,KWH,27.095
125,2016-01-02 08:00:00,KWH,27.095
126,2016-01-02 08:15:00,KWH,27.095
127,2016-01-02 08:30:00,KWH,27.095
128,2016-01-02 08:45:00,KWH,27.095
129,2016-01-02 09:00:00,KWH,27.095
130,2016-01-02 09:15:00,KWH,27.095
131,2016-01-02 09:30:00,KWH,27.095
132,2016-01-02 09:45:00,KWH,27.095
133,2016-01-02 10:00:00,KWH,27.095
134,2016-01-02 10:15:00,KWH,27.095
135,2016-01-02 10:30:00,KWH,27.095
136,2016-01-02 10:45:00,KWH,27.095
137,2016-01-02 11:00:00,KWH,27.095
138,2016-01-02 11:15:00,KWH,27.095
139,2016-01-02 11:30:00,KWH,27.095
140,2016-01-02 11:45:00,KWH,27.095
141,2016-01-02 12:00:00,KWH,27.095
142,2016-01-02 12:15:00,KWH,27.095
143,2016-01-02 12:30:00,KWH,27.095
144,2016-01-02 12:45:00,KWH,27.095
145,2016-01-02 13:00:00,KWH,27.095
146,2016-01-02 13:15:00,KWH,27.095
147,2016-01-02 13:30:00,KWH,27.095
148,2016-01-02 13:45:00,KWH,27.095
149,2016-01-02 14:00:00,KWH,27.095
150,2016-01-02 14:15:00,KWH,27.095
151,2016-01-02 14:30:00,KWH,27.095
152,2016-01-02 14:45:00,KWH,27.095
153,2016-01-02 15:00:00,KWH,27.095
154,2016-01-02 15:15:00,KWH,27.095
155,2016-01-02 15:30:00,KWH,27.095
156,2016-01-02 15:45:00,KWH,27.095
157,2016-01-02 16:00:00,KWH,27.095
158,2016-01-02 16:15:00,KWH,27.096
159,2016-01-02 16:30:00,KWH,27.100
160,2016-01-02 16:45:00,KWH,27.103
161,2016-01-02 17:00:00,KWH,27.107
162,2016-01-02 17:15:00,KWH,27.110
163,2016-01-02 17:30:00,KWH,27.114
164,2016-01-02 17:45:00,KWH,27.118
165,2016-01-02 18:00:00,KWH,27.121
166,2016-01-02 18:15:00,KWH,27.125
167,2016-01-02 18:30:00,KWH,27.128
168,2016-01-02 18:45:00,KWH,27.132
169,2016-01-02 19:00:00,KWH,27.136
170,2016-01-02 19:15:00,KWH,27.137
171,2016-01-02 19:30:00,KWH,27.139
172,2016-01-02 19:45:00,KWH,27.142
173,2016-01-02 20:00:00,KWH,27.146
174,2016-01-02 20:15:00,KWH,27.150
175,2016-01-02 20:30:00,KWH,27.154
176,2016-01-02 20:45:00,KWH,27.159
177,2016-01-02 21:00:00,KWH,27.162
178,2016-01-02 21:15:00,KWH,27.162
179,2016-01-02 21:30:00,KWH,27.162
180,2016-01-02 21:45:00,KWH,27.162
181,2016-01-02 22:00:00,KWH,27.162
182,2016-01-02 22:15:00,KWH,27.165
183,2016-01-02 22:30:00,KWH,27.169
184,2016-01-02 22:45:00,KWH,27.174
185,2016-01-02 23:00:00,KWH,27.177
186,2016-01-02 23:15:00,KWH,27.180
187,2016-01-02 23:30:00,KWH,27.182
188,2016-01-02 23:45:00,KWH,27.185
189,2016-01-03 00:00:00,KWH,27.187
190,2016-01-03 00:15:00,KWH,27.190
191,2016-01-03 00:30:00,KWH,27.192
192,2016-01-03 00:45:00,KWH,27.195
193,2016-01-03 01:00:00,KWH,27.197
194,2016-01-03 01:15:00,KWH,27.200
195,2016-01-03 01:30:00,KWH,27.202
196,2016-01-03 01:45:00,KWH,27.205
197,2016-01-03 02:00:00,KWH,27.207
198,2016-01-03 02:15:00,KWH,27.210
199,2016-01-03 02:30:00,KWH,27.212
200,2016-01-03 02:45:00,KWH,27.215
201,2016-01-03 03:00:00,KWH,27.217
202,2016-01-03 03:15:00,KWH,27.220
203,2016-01-03 03:30:00,KWH,27.224
204,2016-01-03 03:45:00,KWH,27.228
205,2016-01-03 04:00:00,KWH,27.232
206,2016-01-03 04:15:00,KWH,27.236
207,2016-01-03 04:30:00,KWH,27.241
208,2016-01-03 04:45:00,KWH,27.245
209,2016-01-03 05:00:00,KWH,27.249
210,2016-01-03 05:15:00,KWH,27.253
211,2016-01-03 05:30:00,KWH,27.253
212,2016-01-03 05:45:00,KWH,27.253
213,2016-01-03 06:00:00,KWH,27.253
214,2016-01-03 06:15:00,KWH,27.253
215,2016-01-03 06:30:00,KWH,27.253
216,2016-01-03 06:45:00,KWH,27.253
217,2016-01-03 07:00:00,KWH,27.253
218,2016-01-03 07:15:00,KWH,27.253
219,2016-01-03 07:30:00,KWH,27.253
220,2016-01-03 07:45:00,KWH,27.253
221,2016-01-03 08:00:00,KWH,27.253
222,2016-01-03 08:15:00,KWH,27.253
223,2016-01-03 08:30:00,KWH,27.253
224,2016-01-03 08:45:00,KWH,27.253
225,2016-01-03 09:00:00,KWH,27.253
226,2016-01-03 09:15:00,KWH,27.253
227,2016-01-03 09:30:00,KWH,27.253
228,2016-01-03 09:45:00,KWH,27.253
229,2016-01-03 10:00:00,KWH,27.253
230,2016-01-03 10:15:00,KWH,27.253
231,2016-01-03 10:30:00,KWH,27.253
232,2016-01-03 10:45:00,KWH,27.253
233,2016-01-03 11:00:00,KWH,27.253
234,2016-01-03 11:15:00,KWH,27.253
235,2016-01-03 11:30:00,KWH,27.253
236,2016-01-03 11:45:00,KWH,27.253
237,2016-01-03 12:00:00,KWH,27.253
238,2016-01-03 12:15:00,KWH,27.253
239,2016-01-03 12:30:00,KWH,27.253
240,2016-01-03 12:45:00,KWH,27.253
241,2016-01-03 13:00:00,KWH,27.253
242,2016-01-03 13:15:00,KWH,27.253
243,2016-01-03 13:30:00,KWH,27.253
244,2016-01-03 13:45:00,KWH,27.254
245,2016-01-03 14:00:00,KWH,27.254
246,2016-01-03 14:15:00,KWH,27.254
247,2016-01-03 14:30:00,KWH,27.254
248,2016-01-03 14:45:00,KWH,27.254
249,2016-01-03 15:00:00,KWH,27.254
250,2016-01-03 15:15:00,KWH,27.254
251,2016-01-03 15:30:00,KWH,27.254
252,2016-01-03 15:45:00,KWH,27.254
253,2016-01-03 16:00:00,KWH,27.254
254,2016-01-03 16:15:00,KWH,27.256
255,2016-01-03 16:30:00,KWH,27.261
256,2016-01-03 16:45:00,KWH,27.265
257,2016-01-03 17:15:00,KWH,27.273
258,2016-01-03 17:30:00,KWH,27.277
259,2016-01-03 17:45:00,KWH,27.281
260,2016-01-03 18:00:00,KWH,27.285
261,2016-01-03 18:15:00,KWH,27.289
262,2016-01-03 18:30:00,KWH,27.292
263,2016-01-03 18:45:00,KWH,27.295
264,2016-01-03 19:00:00,KWH,27.299
265,2016-01-03 19:15:00,KWH,27.301
266,2016-01-03 19:30:00,KWH,27.301
267,2016-01-03 19:45:00,KWH,27.305
268,2016-01-03 20:00:00,KWH,27.309
269,2016-01-03 20:15:00,KWH,27.313
270,2016-01-03 20:30:00,KWH,27.315
271,2016-01-03 20:45:00,KWH,27.318
272,2016-01-03 21:00:00,KWH,27.320
273,2016-01-03 21:15:00,KWH,27.323
274,2016-01-03 21:30:00,KWH,27.325
275,2016-01-03 21:45:00,KWH,27.328
276,2016-01-03 22:00:00,KWH,27.331
277,2016-01-03 22:15:00,KWH,27.335
278,2016-01-03 22:30:00,KWH,27.339
279,2016-01-03 23:00:00,KWH,27.348
280,2016-01-03 23:15:00,KWH,27.351
281,2016-01-03 23:30:00,KWH,27.351
282,2016-01-03 23:45:00,KWH,27.351
283,2016-01-04 00:00:00,KWH,27.353
284,2016-01-04 00:15:00,KWH,27.356
285,2016-01-04 00:30:00,KWH,27.358
286,2016-01-04 00:45:00,KWH,27.361
287,2016-01-04 01:00:00,KWH,27.364
288,2016-01-04 01:15:00,KWH,27.366
289,2016-01-04 01:30:00,KWH,27.369
290,2016-01-04 01:45:00,KWH,27.371
291,2016-01-04 02:00:00,KWH,27.374
292,2016-01-04 02:15:00,KWH,27.376
293,2016-01-04 02:30:00,KWH,27.379
294,2016-01-04 02:45:00,KWH,27.381
295,2016-01-04 03:00:00,KWH,27.384
296,2016-01-04 03:15:00,KWH,27.386
297,2016-01-04 03:30:00,KWH,27.389
