,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,59.413
1,2016-01-01 00:15:00,KWH,59.417
2,2016-01-01 00:30:00,KWH,59.422
3,2016-01-01 00:45:00,KWH,59.429
4,2016-01-01 01:00:00,KWH,59.433
5,2016-01-01 01:15:00,KWH,59.437
6,2016-01-01 01:30:00,KWH,59.440
7,2016-01-01 01:45:00,KWH,59.443
8,2016-01-01 02:00:00,KWH,59.447
9,2016-01-01 02:15:00,KWH,59.450
10,2016-01-01 02:30:00,KWH,59.453
11,2016-01-01 02:45:00,KWH,59.456
12,2016-01-01 03:00:00,KWH,59.459
13,2016-01-01 03:15:00,KWH,59.462
14,2016-01-01 03:30:00,KWH,59.466
15,2016-01-01 03:45:00,KWH,59.468
16,2016-01-01 04:00:00,KWH,59.468
17,2016-01-01 04:15:00,KWH,59.468
18,2016-01-01 04:30:00,KWH,59.468
19,2016-01-01 04:45:00,KWH,59.468
20,2016-01-01 05:00:00,KWH,59.468
21,2016-01-01 05:15:00,KWH,59.468
22,2016-01-01 05:30:00,KWH,59.468
23,2016-01-01 05:45:00,KWH,59.468
24,2016-01-01 06:00:00,KWH,59.468
25,2016-01-01 06:15:00,KWH,59.468
26,2016-01-01 06:30:00,KWH,59.468
27,2016-01-01 06:45:00,KWH,59.468
28,2016-01-01 07:00:00,KWH,59.468
29,2016-01-01 07:15:00,KWH,59.468
30,2016-01-01 07:30:00,KWH,59.468
31,2016-01-01 07:45:00,KWH,59.468
32,2016-01-01 08:00:00,KWH,59.468
33,2016-01-01 08:15:00,KWH,59.468
34,2016-01-01 08:30:00,KWH,59.468
35,2016-01-01 08:45:00,KWH,59.468
36,2016-01-01 09:00:00,KWH,59.468
37,2016-01-01 09:15:00,KWH,59.468
38,2016-01-01 09:30:00,KWH,59.468
39,2016-01-01 09:45:00,KWH,59.468
40,2016-01-01 10:00:00,KWH,59.468
41,2016-01-01 10:15:00,KWH,59.468
42,2016-01-01 10:30:00,KWH,59.468
43,2016-01-01 10:45:00,KWH,59.468
44,2016-01-01 11:00:00,KWH,59.468
45,2016-01-01 11:15:00,KWH,59.468
46,2016-01-01 11:30:00,KWH,59.468
47,2016-01-01 11:45:00,KWH,59.468
48,2016-01-01 12:00:00,KWH,59.468
49,2016-01-01 12:15:00,KWH,59.468
50,2016-01-01 12:30:00,KWH,59.468
51,2016-01-01 12:45:00,KWH,59.468
52,2016-01-01 13:00:00,KWH,59.468
53,2016-01-01 13:15:00,KWH,59.468
54,2016-01-01 13:15:59,KWH,59.468
55,2016-01-01 13:30:00,KWH,59.468
56,2016-01-01 13:45:00,KWH,59.468
57,2016-01-01 14:00:00,KWH,59.468
58,2016-01-01 14:15:00,KWH,59.468
59,2016-01-01 14:30:00,KWH,59.468
60,2016-01-01 14:45:00,KWH,59.468
61,2016-01-01 15:00:00,KWH,59.468
62,2016-01-01 15:15:00,KWH,59.468
63,2016-01-01 15:30:00,KWH,59.468
64,2016-01-01 15:45:00,KWH,59.468
65,2016-01-01 16:00:00,KWH,59.468
66,2016-01-01 16:15:00,KWH,59.470
67,2016-01-01 16:30:00,KWH,59.475
68,2016-01-01 16:45:00,KWH,59.482
69,2016-01-01 17:00:00,KWH,59.488
70,2016-01-01 17:15:00,KWH,59.492
71,2016-01-01 17:30:00,KWH,59.495
72,2016-01-01 17:45:00,KWH,59.498
73,2016-01-01 18:00:00,KWH,59.502
74,2016-01-01 18:00:59,KWH,59.502
75,2016-01-01 18:15:00,KWH,59.505
76,2016-01-01 18:30:00,KWH,59.508
77,2016-01-01 18:45:00,KWH,59.512
78,2016-01-01 19:00:00,KWH,59.517
79,2016-01-01 19:15:00,KWH,59.520
80,2016-01-01 19:30:00,KWH,59.523
81,2016-01-01 19:45:00,KWH,59.527
82,2016-01-01 20:00:00,KWH,59.530
83,2016-01-01 20:15:00,KWH,59.533
84,2016-01-01 20:30:00,KWH,59.536
85,2016-01-01 20:45:00,KWH,59.537
86,2016-01-01 21:00:00,KWH,59.537
87,2016-01-01 21:15:00,KWH,59.537
88,2016-01-01 21:30:00,KWH,59.539
89,2016-01-01 21:45:00,KWH,59.541
90,2016-01-01 22:00:00,KWH,59.541
91,2016-01-01 22:15:00,KWH,59.542
92,2016-01-01 22:30:00,KWH,59.542
93,2016-01-01 22:45:00,KWH,59.542
94,2016-01-01 23:00:00,KWH,59.542
95,2016-01-01 23:15:00,KWH,59.542
96,2016-01-01 23:30:00,KWH,59.542
97,2016-01-01 23:45:00,KWH,59.542
98,2016-01-02 00:00:00,KWH,59.543
99,2016-01-02 00:15:00,KWH,59.543
100,2016-01-02 00:30:00,KWH,59.543
101,2016-01-02 00:45:00,KWH,59.543
102,2016-01-02 01:00:00,KWH,59.543
103,2016-01-02 01:15:00,KWH,59.543
104,2016-01-02 01:30:00,KWH,59.543
105,2016-01-02 01:45:00,KWH,59.543
106,2016-01-02 02:00:00,KWH,59.543
107,2016-01-02 02:15:00,KWH,59.543
108,2016-01-02 02:30:00,KWH,59.543
109,2016-01-02 02:45:00,KWH,59.543
110,2016-01-02 03:00:00,KWH,59.543
111,2016-01-02 03:15:00,KWH,59.543
112,2016-01-02 03:30:00,KWH,59.543
113,2016-01-02 03:45:00,KWH,59.543
114,2016-01-02 04:00:00,KWH,59.543
115,2016-01-02 04:15:00,KWH,59.543
116,2016-01-02 04:30:00,KWH,59.543
117,2016-01-02 04:45:00,KWH,59.543
118,2016-01-02 05:00:00,KWH,59.543
119,2016-01-02 05:15:00,KWH,59.543
120,2016-01-02 05:30:00,KWH,59.543
121,2016-01-02 05:45:00,KWH,59.543
122,2016-01-02 06:00:00,KWH,59.543
123,2016-01-02 06:15:00,KWH,59.543
124,2016-01-02 06:30:00,KWH,59.543
125,2016-01-02 06:45:00,KWH,59.543
126,2016-01-02 07:00:00,KWH,59.543
127,2016-01-02 07:15:00,KWH,59.543
128,2016-01-02 07:30:00,KWH,59.543
129,2016-01-02 07:45:00,KWH,59.543
130,2016-01-02 08:00:00,KWH,59.543
131,2016-01-02 08:15:00,KWH,59.543
132,2016-01-02 08:30:00,KWH,59.543
133,2016-01-02 08:45:00,KWH,59.543
134,2016-01-02 09:00:00,KWH,59.543
135,2016-01-02 09:15:00,KWH,59.543
136,2016-01-02 09:30:00,KWH,59.543
137,2016-01-02 09:45:00,KWH,59.543
