,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,85.261
1,2016-01-01 00:15:00,KWH,85.266
2,2016-01-01 00:30:00,KWH,85.270
3,2016-01-01 00:45:00,KWH,85.275
4,2016-01-01 01:00:00,KWH,85.279
5,2016-01-01 01:00:00,KWH,85.279
6,2016-01-01 01:15:00,KWH,85.283
7,2016-01-01 01:30:00,KWH,85.288
8,2016-01-01 01:45:00,KWH,85.292
9,2016-01-01 02:00:00,KWH,85.297
10,2016-01-01 02:15:00,KWH,85.301
11,2016-01-01 02:30:00,KWH,85.306
12,2016-01-01 02:30:59,KWH,85.306
13,2016-01-01 02:45:00,KWH,85.310
14,2016-01-01 03:00:00,KWH,85.314
15,2016-01-01 03:15:00,KWH,85.319
16,2016-01-01 03:30:00,KWH,85.323
17,2016-01-01 03:30:00,KWH,85.323
18,2016-01-01 03:45:00,KWH,85.328
19,2016-01-01 04:00:00,KWH,85.332
20,2016-01-01 04:15:00,KWH,85.337
21,2016-01-01 04:15:00,KWH,85.337
22,2016-01-01 04:30:00,KWH,85.340
23,2016-01-01 04:45:00,KWH,85.342
24,2016-01-01 05:00:00,KWH,85.343
25,2016-01-01 05:15:00,KWH,85.343
26,2016-01-01 05:30:00,KWH,85.343
27,2016-01-01 05:45:00,KWH,85.344
28,2016-01-01 06:00:00,KWH,85.344
29,2016-01-01 06:15:00,KWH,85.344
30,2016-01-01 06:30:00,KWH,85.344
31,2016-01-01 06:45:00,KWH,85.344
32,2016-01-01 07:00:00,KWH,85.344
33,2016-01-01 07:15:00,KWH,85.344
34,2016-01-01 07:30:00,KWH,85.344
35,2016-01-01 07:45:00,KWH,85.344
36,2016-01-01 08:00:00,KWH,85.344
37,2016-01-01 08:15:00,KWH,85.344
38,2016-01-01 08:30:00,KWH,85.344
39,2016-01-01 08:45:00,KWH,85.344
40,2016-01-01 09:00:00,KWH,85.344
41,2016-01-01 09:15:00,KWH,85.344
42,2016-01-01 09:15:59,KWH,85.344
43,2016-01-01 09:30:00,KWH,85.344
44,2016-01-01 09:45:00,KWH,85.344
45,2016-01-01 10:00:00,KWH,85.344
46,2016-01-01 10:15:00,KWH,85.344
47,2016-01-01 10:30:00,KWH,85.344
48,2016-01-01 10:45:00,KWH,85.344
49,2016-01-01 11:00:00,KWH,85.344
50,2016-01-01 11:15:00,KWH,85.344
51,2016-01-01 11:30:00,KWH,85.344
52,2016-01-01 11:45:00,KWH,85.344
53,2016-01-01 12:00:00,KWH,85.344
54,2016-01-01 12:15:00,KWH,85.344
55,2016-01-01 12:30:00,KWH,85.344
56,2016-01-01 12:45:00,KWH,85.344
57,2016-01-01 13:00:00,KWH,85.344
58,2016-01-01 13:15:00,KWH,85.344
59,2016-01-01 13:30:00,KWH,85.344
60,2016-01-01 13:45:00,KWH,85.344
61,2016-01-01 14:00:00,KWH,85.344
62,2016-01-01 14:15:00,KWH,85.344
63,2016-01-01 14:30:00,KWH,85.344
64,2016-01-01 14:45:00,KWH,85.344
65,2016-01-01 15:00:00,KWH,85.345
66,2016-01-01 15:15:00,KWH,85.347
67,2016-01-01 15:30:00,KWH,85.348
68,2016-01-01 15:30:59,KWH,85.348
69,2016-01-01 15:45:00,KWH,85.348
70,2016-01-01 16:00:00,KWH,85.348
71,2016-01-01 16:15:00,KWH,85.352
72,2016-01-01 16:30:00,KWH,85.356
73,2016-01-01 16:45:00,KWH,85.359
74,2016-01-01 17:00:00,KWH,85.362
75,2016-01-01 17:15:00,KWH,85.368
76,2016-01-01 17:30:00,KWH,85.374
77,2016-01-01 17:45:00,KWH,85.379
78,2016-01-01 18:00:00,KWH,85.384
79,2016-01-01 18:15:00,KWH,85.388
80,2016-01-01 18:30:00,KWH,85.393
81,2016-01-01 18:45:00,KWH,85.398
82,2016-01-01 19:00:00,KWH,85.487
83,2016-01-01 19:15:00,KWH,85.633
84,2016-01-01 19:30:00,KWH,85.779
85,2016-01-01 19:45:00,KWH,85.891
86,2016-01-01 20:00:00,KWH,86.037
87,2016-01-01 20:15:00,KWH,86.160
88,2016-01-01 20:30:00,KWH,86.165
89,2016-01-01 20:45:00,KWH,86.171
90,2016-01-01 21:00:00,KWH,86.177
91,2016-01-01 21:15:00,KWH,86.182
92,2016-01-01 21:30:00,KWH,86.188
93,2016-01-01 21:45:00,KWH,86.193
94,2016-01-01 22:00:00,KWH,86.198
95,2016-01-01 22:15:00,KWH,86.203
96,2016-01-01 22:30:00,KWH,86.208
97,2016-01-01 22:45:00,KWH,86.213
98,2016-01-01 23:00:00,KWH,86.218
99,2016-01-01 23:15:00,KWH,86.223
100,2016-01-01 23:30:00,KWH,86.228
101,2016-01-02 00:00:00,KWH,86.237
102,2016-01-02 00:15:00,KWH,86.242
103,2016-01-02 00:30:00,KWH,86.246
104,2016-01-02 00:45:00,KWH,86.251
105,2016-01-02 01:00:00,KWH,86.256
106,2016-01-02 01:15:00,KWH,86.260
107,2016-01-02 01:30:00,KWH,86.265
108,2016-01-02 01:45:00,KWH,86.270
109,2016-01-02 02:00:00,KWH,86.275
110,2016-01-02 02:15:00,KWH,86.279
111,2016-01-02 02:30:00,KWH,86.284
112,2016-01-02 02:45:00,KWH,86.289
113,2016-01-02 03:00:00,KWH,86.293
114,2016-01-02 03:30:00,KWH,86.303
115,2016-01-02 03:45:00,KWH,86.308
116,2016-01-02 04:00:00,KWH,86.445
117,2016-01-02 04:15:00,KWH,86.533
118,2016-01-02 04:30:00,KWH,86.591
119,2016-01-02 04:45:00,KWH,86.734
120,2016-01-02 05:00:00,KWH,86.877
121,2016-01-02 05:15:00,KWH,87.000
122,2016-01-02 05:30:00,KWH,87.000
123,2016-01-02 05:45:00,KWH,87.000
124,2016-01-02 06:00:00,KWH,87.000
125,2016-01-02 06:15:00,KWH,87.000
126,2016-01-02 06:30:00,KWH,87.000
127,2016-01-02 06:45:00,KWH,87.000
128,2016-01-02 07:00:00,KWH,87.000
129,2016-01-02 07:15:00,KWH,87.000
130,2016-01-02 07:30:00,KWH,87.000
131,2016-01-02 07:45:00,KWH,87.000
132,2016-01-02 08:00:00,KWH,87.000
133,2016-01-02 08:15:00,KWH,87.052
134,2016-01-02 08:30:00,KWH,87.161
135,2016-01-02 08:45:00,KWH,87.161
136,2016-01-02 09:00:00,KWH,87.161
137,2016-01-02 09:15:00,KWH,87.161
138,2016-01-02 09:30:00,KWH,87.161
139,2016-01-02 09:45:00,KWH,87.161
140,2016-01-02 10:00:00,KWH,87.161
141,2016-01-02 10:15:00,KWH,87.161
142,2016-01-02 10:30:00,KWH,87.161
143,2016-01-02 10:45:00,KWH,87.161
144,2016-01-02 11:00:00,KWH,87.196
145,2016-01-02 11:15:00,KWH,87.338
146,2016-01-02 11:30:00,KWH,87.480
147,2016-01-02 11:45:00,KWH,87.622
148,2016-01-02 12:00:00,KWH,87.700
149,2016-01-02 12:15:00,KWH,87.700
150,2016-01-02 12:30:00,KWH,87.700
151,2016-01-02 12:45:00,KWH,87.700
152,2016-01-02 13:00:00,KWH,87.700
153,2016-01-02 13:30:00,KWH,87.702
154,2016-01-02 13:45:00,KWH,87.702
155,2016-01-02 14:00:00,KWH,87.704
156,2016-01-02 14:15:00,KWH,87.706
157,2016-01-02 14:30:00,KWH,87.709
158,2016-01-02 14:45:00,KWH,87.711
159,2016-01-02 15:00:00,KWH,87.713
160,2016-01-02 15:15:00,KWH,87.714
161,2016-01-02 15:30:00,KWH,87.714
162,2016-01-02 15:45:00,KWH,87.716
163,2016-01-02 16:00:00,KWH,87.717
164,2016-01-02 16:15:00,KWH,87.717
165,2016-01-02 16:30:00,KWH,87.720
166,2016-01-02 16:45:00,KWH,87.723
