,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,68.783
1,2016-01-01 00:15:00,KWH,68.791
2,2016-01-01 00:30:00,KWH,68.799
3,2016-01-01 00:45:00,KWH,68.807
4,2016-01-01 01:00:00,KWH,68.815
5,2016-01-01 01:15:00,KWH,68.823
6,2016-01-01 01:30:00,KWH,68.830
7,2016-01-01 01:45:00,KWH,68.838
8,2016-01-01 02:00:00,KWH,68.846
9,2016-01-01 02:15:00,KWH,68.854
10,2016-01-01 02:30:00,KWH,68.862
11,2016-01-01 02:45:00,KWH,68.870
12,2016-01-01 03:00:00,KWH,68.878
13,2016-01-01 03:15:00,KWH,68.886
14,2016-01-01 03:30:00,KWH,68.894
15,2016-01-01 03:45:00,KWH,68.901
16,2016-01-01 04:00:00,KWH,68.907
17,2016-01-01 04:15:00,KWH,68.911
18,2016-01-01 04:30:00,KWH,68.912
19,2016-01-01 04:45:00,KWH,68.912
20,2016-01-01 05:00:00,KWH,68.912
21,2016-01-01 05:15:00,KWH,68.912
22,2016-01-01 05:30:00,KWH,68.912
23,2016-01-01 05:45:00,KWH,68.914
24,2016-01-01 06:00:00,KWH,68.915
25,2016-01-01 06:15:00,KWH,68.917
26,2016-01-01 06:30:00,KWH,68.918
27,2016-01-01 06:45:00,KWH,68.918
28,2016-01-01 07:00:00,KWH,68.918
29,2016-01-01 07:15:00,KWH,68.918
30,2016-01-01 07:30:00,KWH,68.918
31,2016-01-01 07:45:00,KWH,68.918
32,2016-01-01 08:00:00,KWH,68.918
33,2016-01-01 08:15:00,KWH,68.918
34,2016-01-01 08:30:00,KWH,68.918
35,2016-01-01 08:45:00,KWH,68.918
36,2016-01-01 09:00:00,KWH,68.918
37,2016-01-01 09:15:00,KWH,68.918
38,2016-01-01 09:30:00,KWH,68.918
39,2016-01-01 09:45:00,KWH,68.918
40,2016-01-01 10:00:00,KWH,68.918
41,2016-01-01 10:15:00,KWH,68.918
42,2016-01-01 10:30:00,KWH,68.918
43,2016-01-01 10:45:00,KWH,68.918
44,2016-01-01 11:00:00,KWH,68.918
45,2016-01-01 11:15:00,KWH,68.918
46,2016-01-01 11:30:00,KWH,68.918
47,2016-01-01 11:45:00,KWH,68.918
48,2016-01-01 12:00:00,KWH,68.918
49,2016-01-01 12:15:00,KWH,68.918
50,2016-01-01 12:30:00,KWH,68.918
51,2016-01-01 12:45:00,KWH,68.919
52,2016-01-01 13:00:00,KWH,68.921
53,2016-01-01 13:15:00,KWH,68.923
54,2016-01-01 13:30:00,KWH,68.925
55,2016-01-01 13:45:00,KWH,68.927
56,2016-01-01 14:00:00,KWH,68.929
57,2016-01-01 14:15:00,KWH,68.932
58,2016-01-01 14:30:00,KWH,68.934
59,2016-01-01 14:45:00,KWH,68.934
60,2016-01-01 15:00:00,KWH,68.934
61,2016-01-01 15:15:00,KWH,68.934
62,2016-01-01 15:30:00,KWH,68.934
63,2016-01-01 15:45:00,KWH,68.934
64,2016-01-01 16:00:00,KWH,68.936
65,2016-01-01 16:30:00,KWH,68.944
66,2016-01-01 16:45:00,KWH,68.947
67,2016-01-01 17:00:00,KWH,68.951
68,2016-01-01 17:15:00,KWH,68.954
69,2016-01-01 17:30:00,KWH,68.957
70,2016-01-01 17:45:00,KWH,68.964
71,2016-01-01 18:00:00,KWH,68.972
72,2016-01-01 18:15:00,KWH,68.980
73,2016-01-01 18:30:00,KWH,68.988
74,2016-01-01 18:45:00,KWH,68.996
75,2016-01-01 19:00:00,KWH,69.004
76,2016-01-01 19:15:00,KWH,69.012
77,2016-01-01 19:30:00,KWH,69.019
78,2016-01-01 19:45:00,KWH,69.027
79,2016-01-01 20:00:00,KWH,69.035
80,2016-01-01 20:15:00,KWH,69.043
81,2016-01-01 20:30:00,KWH,69.051
82,2016-01-01 20:45:00,KWH,69.059
83,2016-01-01 21:00:00,KWH,69.067
84,2016-01-01 21:15:00,KWH,69.071
85,2016-01-01 21:30:00,KWH,69.074
86,2016-01-01 21:45:00,KWH,69.077
87,2016-01-01 22:00:00,KWH,69.080
88,2016-01-01 22:15:00,KWH,69.083
89,2016-01-01 22:30:00,KWH,69.086
90,2016-01-01 22:45:00,KWH,69.090
91,2016-01-01 23:00:00,KWH,69.093
92,2016-01-01 23:15:00,KWH,69.096
