,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,7.742
1,2016-01-01 00:15:00,KWH,7.742
2,2016-01-01 00:30:00,KWH,7.742
3,2016-01-01 00:45:00,KWH,7.742
4,2016-01-01 01:00:00,KWH,7.742
5,2016-01-01 01:15:00,KWH,7.742
6,2016-01-01 01:30:00,KWH,7.742
7,2016-01-01 01:45:00,KWH,7.742
8,2016-01-01 02:00:00,KWH,7.742
9,2016-01-01 02:15:00,KWH,7.742
10,2016-01-01 02:30:00,KWH,7.742
11,2016-01-01 02:45:00,KWH,7.742
12,2016-01-01 03:00:00,KWH,7.742
13,2016-01-01 03:15:00,KWH,7.742
14,2016-01-01 03:30:00,KWH,7.742
15,2016-01-01 03:45:00,KWH,7.742
16,2016-01-01 04:00:00,KWH,7.742
17,2016-01-01 04:15:00,KWH,7.742
18,2016-01-01 04:30:00,KWH,7.742
19,2016-01-01 04:45:00,KWH,7.742
20,2016-01-01 05:00:00,KWH,7.742
21,2016-01-01 05:15:00,KWH,7.742
22,2016-01-01 05:30:00,KWH,7.742
23,2016-01-01 05:45:00,KWH,7.742
24,2016-01-01 06:00:00,KWH,7.742
25,2016-01-01 06:15:00,KWH,7.742
26,2016-01-01 06:30:00,KWH,7.742
27,2016-01-01 06:45:00,KWH,7.742
28,2016-01-01 07:00:00,KWH,7.742
29,2016-01-01 07:15:00,KWH,7.742
30,2016-01-01 07:30:00,KWH,7.742
31,2016-01-01 07:45:00,KWH,7.742
32,2016-01-01 08:00:00,KWH,7.742
33,2016-01-01 08:15:00,KWH,7.742
34,2016-01-01 08:30:00,KWH,7.742
35,2016-01-01 08:45:00,KWH,7.742
36,2016-01-01 09:00:00,KWH,7.742
37,2016-01-01 09:15:00,KWH,7.742
38,2016-01-01 09:30:00,KWH,7.742
39,2016-01-01 09:45:00,KWH,7.742
40,2016-01-01 10:00:00,KWH,7.742
41,2016-01-01 10:15:00,KWH,7.742
42,2016-01-01 10:30:00,KWH,7.742
43,2016-01-01 10:45:00,KWH,7.742
44,2016-01-01 11:00:00,KWH,7.742
45,2016-01-01 11:15:00,KWH,7.742
46,2016-01-01 11:30:00,KWH,7.742
47,2016-01-01 11:45:00,KWH,7.742
48,2016-01-01 12:00:00,KWH,7.742
49,2016-01-01 12:15:00,KWH,7.742
50,2016-01-01 12:30:00,KWH,7.742
51,2016-01-01 12:45:00,KWH,7.742
52,2016-01-01 13:00:00,KWH,7.742
53,2016-01-01 13:15:00,KWH,7.742
54,2016-01-01 13:30:00,KWH,7.742
55,2016-01-01 13:45:00,KWH,7.742
56,2016-01-01 14:00:00,KWH,7.742
57,2016-01-01 14:15:00,KWH,7.742
58,2016-01-01 14:30:00,KWH,7.742
