,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,1.876
1,2016-01-01 00:15:00,KWH,1.876
2,2016-01-01 00:30:00,KWH,1.876
3,2016-01-01 00:45:00,KWH,1.876
4,2016-01-01 01:00:00,KWH,1.876
5,2016-01-01 01:15:00,KWH,1.876
6,2016-01-01 01:30:00,KWH,1.876
7,2016-01-01 01:45:00,KWH,1.876
8,2016-01-01 02:00:00,KWH,1.876
9,2016-01-01 02:15:00,KWH,1.876
10,2016-01-01 02:30:00,KWH,1.876
11,2016-01-01 02:45:00,KWH,1.876
12,2016-01-01 03:00:00,KWH,1.876
13,2016-01-01 03:15:00,KWH,1.876
14,2016-01-01 03:30:00,KWH,1.876
15,2016-01-01 03:45:00,KWH,1.876
16,2016-01-01 04:00:00,KWH,1.876
17,2016-01-01 04:15:00,KWH,1.876
18,2016-01-01 04:30:00,KWH,1.876
19,2016-01-01 04:45:00,KWH,1.876
20,2016-01-01 05:00:00,KWH,1.876
21,2016-01-01 05:15:00,KWH,1.876
22,2016-01-01 05:30:00,KWH,1.876
23,2016-01-01 05:45:00,KWH,1.876
24,2016-01-01 06:00:00,KWH,1.876
25,2016-01-01 06:15:00,KWH,1.876
26,2016-01-01 06:30:00,KWH,1.876
27,2016-01-01 06:45:00,KWH,1.876
28,2016-01-01 07:00:00,KWH,1.876
29,2016-01-01 07:15:00,KWH,1.876
30,2016-01-01 07:30:00,KWH,1.876
31,2016-01-01 07:45:00,KWH,1.876
32,2016-01-01 08:00:00,KWH,1.876
33,2016-01-01 08:15:00,KWH,1.876
34,2016-01-01 08:30:00,KWH,1.876
35,2016-01-01 08:45:00,KWH,1.876
36,2016-01-01 09:00:00,KWH,1.876
37,2016-01-01 09:15:00,KWH,1.876
38,2016-01-01 09:30:00,KWH,1.876
39,2016-01-01 09:45:00,KWH,1.876
40,2016-01-01 10:00:00,KWH,1.876
41,2016-01-01 10:15:00,KWH,1.876
42,2016-01-01 10:30:00,KWH,1.876
43,2016-01-01 10:45:00,KWH,1.876
44,2016-01-01 11:00:00,KWH,1.876
45,2016-01-01 11:15:00,KWH,1.876
46,2016-01-01 11:30:00,KWH,1.876
47,2016-01-01 11:45:00,KWH,1.876
48,2016-01-01 12:00:00,KWH,1.876
49,2016-01-01 12:15:00,KWH,1.876
50,2016-01-01 12:30:00,KWH,1.876
51,2016-01-01 12:45:00,KWH,1.876
52,2016-01-01 13:00:00,KWH,1.876
53,2016-01-01 13:15:00,KWH,1.876
54,2016-01-01 13:30:00,KWH,1.876
55,2016-01-01 13:45:00,KWH,1.876
56,2016-01-01 14:00:00,KWH,1.876
57,2016-01-01 14:15:00,KWH,1.876
58,2016-01-01 14:30:00,KWH,1.876
59,2016-01-01 14:45:00,KWH,1.876
60,2016-01-01 15:00:00,KWH,1.876
61,2016-01-01 15:15:00,KWH,1.876
62,2016-01-01 15:30:00,KWH,1.876
63,2016-01-01 15:45:00,KWH,1.876
64,2016-01-01 16:00:00,KWH,1.876
65,2016-01-01 16:15:00,KWH,1.876
66,2016-01-01 16:30:00,KWH,1.876
67,2016-01-01 16:45:00,KWH,1.876
68,2016-01-01 17:00:00,KWH,1.876
69,2016-01-01 17:15:00,KWH,1.876
70,2016-01-01 17:30:00,KWH,1.876
71,2016-01-01 17:45:00,KWH,1.876
72,2016-01-01 18:00:00,KWH,1.876
73,2016-01-01 18:15:00,KWH,1.876
74,2016-01-01 18:30:00,KWH,1.876
75,2016-01-01 18:45:00,KWH,1.876
76,2016-01-01 19:00:00,KWH,1.876
77,2016-01-01 19:15:00,KWH,1.876
78,2016-01-01 19:30:00,KWH,1.876
79,2016-01-01 19:45:00,KWH,1.876
80,2016-01-01 20:00:00,KWH,1.876
81,2016-01-01 20:15:00,KWH,1.876
82,2016-01-01 20:30:00,KWH,1.876
83,2016-01-01 20:45:00,KWH,1.876
84,2016-01-01 21:00:00,KWH,1.876
85,2016-01-01 21:15:00,KWH,1.876
86,2016-01-01 21:30:00,KWH,1.876
87,2016-01-01 21:45:00,KWH,1.876
88,2016-01-01 22:00:00,KWH,1.876
89,2016-01-01 22:15:00,KWH,1.876
90,2016-01-01 22:30:00,KWH,1.876
91,2016-01-01 22:45:00,KWH,1.876
92,2016-01-01 23:00:00,KWH,1.876
93,2016-01-01 23:15:00,KWH,1.876
94,2016-01-01 23:30:00,KWH,1.876
95,2016-01-01 23:45:00,KWH,1.876
96,2016-01-02 00:00:00,KWH,1.876
97,2016-01-02 00:15:00,KWH,1.876
98,2016-01-02 00:45:00,KWH,1.876
99,2016-01-02 01:00:00,KWH,1.876
100,2016-01-02 01:15:00,KWH,1.876
101,2016-01-02 01:30:00,KWH,1.876
102,2016-01-02 01:45:00,KWH,1.876
103,2016-01-02 02:00:00,KWH,1.876
104,2016-01-02 02:15:00,KWH,1.876
105,2016-01-02 02:30:00,KWH,1.876
106,2016-01-02 02:45:00,KWH,1.876
107,2016-01-02 03:00:00,KWH,1.876
108,2016-01-02 03:15:00,KWH,1.876
109,2016-01-02 03:30:00,KWH,1.876
110,2016-01-02 03:45:00,KWH,1.876
111,2016-01-02 04:00:00,KWH,1.876
112,2016-01-02 04:15:00,KWH,1.876
113,2016-01-02 04:30:00,KWH,1.876
114,2016-01-02 04:45:00,KWH,1.876
115,2016-01-02 05:00:00,KWH,1.876
116,2016-01-02 05:15:00,KWH,1.876
117,2016-01-02 05:30:00,KWH,1.876
118,2016-01-02 05:45:00,KWH,1.876
119,2016-01-02 06:00:00,KWH,1.876
120,2016-01-02 06:15:00,KWH,1.876
121,2016-01-02 06:30:00,KWH,1.876
122,2016-01-02 06:45:00,KWH,1.876
123,2016-01-02 07:00:00,KWH,1.876
124,2016-01-02 07:15:00,KWH,1.876
125,2016-01-02 07:30:00,KWH,1.876
126,2016-01-02 07:45:00,KWH,1.876
127,2016-01-02 08:00:00,KWH,1.876
128,2016-01-02 08:15:00,KWH,1.876
129,2016-01-02 08:30:00,KWH,1.876
130,2016-01-02 08:45:00,KWH,1.876
131,2016-01-02 09:00:00,KWH,1.876
132,2016-01-02 09:15:00,KWH,1.876
133,2016-01-02 09:30:00,KWH,1.876
134,2016-01-02 09:45:00,KWH,1.876
135,2016-01-02 10:00:00,KWH,1.876
136,2016-01-02 10:15:00,KWH,1.876
137,2016-01-02 10:30:00,KWH,1.876
138,2016-01-02 10:45:00,KWH,1.876
139,2016-01-02 11:00:00,KWH,1.876
140,2016-01-02 11:15:00,KWH,1.876
141,2016-01-02 11:30:00,KWH,1.876
142,2016-01-02 11:45:00,KWH,1.876
143,2016-01-02 12:00:00,KWH,1.876
144,2016-01-02 12:15:00,KWH,1.876
145,2016-01-02 12:45:00,KWH,1.876
146,2016-01-02 13:00:00,KWH,1.876
147,2016-01-02 13:15:00,KWH,1.876
148,2016-01-02 13:30:00,KWH,1.876
149,2016-01-02 13:45:00,KWH,1.876
150,2016-01-02 14:00:00,KWH,1.876
151,2016-01-02 14:15:00,KWH,1.876
152,2016-01-02 14:30:00,KWH,1.876
153,2016-01-02 14:45:00,KWH,1.876
154,2016-01-02 15:00:00,KWH,1.876
155,2016-01-02 15:15:00,KWH,1.876
156,2016-01-02 15:30:00,KWH,1.876
157,2016-01-02 15:45:00,KWH,1.876
158,2016-01-02 16:00:00,KWH,1.876
159,2016-01-02 16:15:00,KWH,1.876
160,2016-01-02 16:30:00,KWH,1.876
161,2016-01-02 16:45:00,KWH,1.876
162,2016-01-02 17:00:00,KWH,1.876
163,2016-01-02 17:15:00,KWH,1.876
164,2016-01-02 17:30:00,KWH,1.876
165,2016-01-02 17:45:00,KWH,1.876
166,2016-01-02 18:00:00,KWH,1.876
167,2016-01-02 18:15:00,KWH,1.876
168,2016-01-02 18:45:00,KWH,1.876
169,2016-01-02 19:00:00,KWH,1.876
170,2016-01-02 19:15:00,KWH,1.876
171,2016-01-02 19:30:00,KWH,1.876
172,2016-01-02 19:45:00,KWH,1.876
173,2016-01-02 20:00:00,KWH,1.876
174,2016-01-02 20:15:00,KWH,1.876
175,2016-01-02 20:30:00,KWH,1.876
176,2016-01-02 20:45:00,KWH,1.876
177,2016-01-02 21:00:00,KWH,1.876
178,2016-01-02 21:15:00,KWH,1.876
179,2016-01-02 21:30:00,KWH,1.876
180,2016-01-02 21:45:00,KWH,1.876
181,2016-01-02 22:00:00,KWH,1.876
182,2016-01-02 22:15:00,KWH,1.876
183,2016-01-02 22:30:00,KWH,1.876
184,2016-01-02 22:45:00,KWH,1.876
185,2016-01-02 23:00:00,KWH,1.876
186,2016-01-02 23:15:00,KWH,1.876
187,2016-01-02 23:30:00,KWH,1.876
188,2016-01-02 23:45:00,KWH,1.876
189,2016-01-03 00:00:00,KWH,1.876
190,2016-01-03 00:15:00,KWH,1.876
191,2016-01-03 00:30:00,KWH,1.876
192,2016-01-03 00:45:00,KWH,1.876
193,2016-01-03 01:00:00,KWH,1.876
194,2016-01-03 01:15:00,KWH,1.876
195,2016-01-03 01:30:00,KWH,1.876
196,2016-01-03 01:45:00,KWH,1.876
197,2016-01-03 02:00:00,KWH,1.876
198,2016-01-03 02:15:00,KWH,1.876
199,2016-01-03 02:30:00,KWH,1.876
200,2016-01-03 02:45:00,KWH,1.876
201,2016-01-03 03:00:00,KWH,1.876
202,2016-01-03 03:15:00,KWH,1.876
203,2016-01-03 03:30:00,KWH,1.876
204,2016-01-03 03:45:00,KWH,1.876
205,2016-01-03 04:00:00,KWH,1.876
206,2016-01-03 04:15:00,KWH,1.876
207,2016-01-03 04:30:00,KWH,1.876
208,2016-01-03 04:45:00,KWH,1.876
209,2016-01-03 05:00:00,KWH,1.876
210,2016-01-03 05:15:00,KWH,1.876
211,2016-01-03 05:30:00,KWH,1.876
212,2016-01-03 05:45:00,KWH,1.876
213,2016-01-03 06:00:00,KWH,1.876
214,2016-01-03 06:15:00,KWH,1.876
215,2016-01-03 06:30:00,KWH,1.876
216,2016-01-03 06:45:00,KWH,1.876
217,2016-01-03 07:00:00,KWH,1.876
218,2016-01-03 07:15:00,KWH,1.876
219,2016-01-03 07:30:00,KWH,1.876
220,2016-01-03 07:45:00,KWH,1.876
221,2016-01-03 08:00:00,KWH,1.876
222,2016-01-03 08:15:00,KWH,1.876
223,2016-01-03 08:30:00,KWH,1.876
224,2016-01-03 08:45:00,KWH,1.876
225,2016-01-03 09:15:00,KWH,1.876
226,2016-01-03 09:30:00,KWH,1.876
227,2016-01-03 09:45:00,KWH,1.876
228,2016-01-03 10:00:00,KWH,1.876
229,2016-01-03 10:15:00,KWH,1.876
230,2016-01-03 10:30:00,KWH,1.876
231,2016-01-03 10:45:00,KWH,1.876
232,2016-01-03 11:00:00,KWH,1.876
233,2016-01-03 11:15:00,KWH,1.876
234,2016-01-03 11:30:00,KWH,1.876
235,2016-01-03 11:45:00,KWH,1.876
236,2016-01-03 12:00:00,KWH,1.876
237,2016-01-03 12:15:00,KWH,1.876
238,2016-01-03 12:30:00,KWH,1.876
239,2016-01-03 12:45:00,KWH,1.876
240,2016-01-03 13:00:00,KWH,1.876
241,2016-01-03 13:15:00,KWH,1.876
242,2016-01-03 13:30:00,KWH,1.876
243,2016-01-03 13:45:00,KWH,1.876
244,2016-01-03 14:00:00,KWH,1.876
245,2016-01-03 14:15:00,KWH,1.876
246,2016-01-03 14:30:00,KWH,1.876
247,2016-01-03 14:45:00,KWH,1.876
248,2016-01-03 15:00:00,KWH,1.876
249,2016-01-03 15:15:00,KWH,1.876
250,2016-01-03 15:30:00,KWH,1.876
251,2016-01-03 15:45:00,KWH,1.876
252,2016-01-03 16:00:00,KWH,1.876
253,2016-01-03 16:15:00,KWH,1.876
254,2016-01-03 16:30:00,KWH,1.876
255,2016-01-03 16:45:00,KWH,1.876
256,2016-01-03 17:00:00,KWH,1.876
257,2016-01-03 17:15:00,KWH,1.876
258,2016-01-03 17:30:00,KWH,1.876
259,2016-01-03 17:45:00,KWH,1.876
260,2016-01-03 18:00:00,KWH,1.876
261,2016-01-03 18:15:00,KWH,1.876
262,2016-01-03 18:30:00,KWH,1.876
263,2016-01-03 18:45:00,KWH,1.876
264,2016-01-03 19:00:00,KWH,1.876
265,2016-01-03 19:15:00,KWH,1.876
266,2016-01-03 19:30:00,KWH,1.876
267,2016-01-03 19:45:00,KWH,1.876
268,2016-01-03 20:00:00,KWH,1.876
269,2016-01-03 20:15:00,KWH,1.876
270,2016-01-03 20:30:00,KWH,1.878
271,2016-01-03 20:45:00,KWH,1.878
272,2016-01-03 21:00:00,KWH,1.878
273,2016-01-03 21:15:00,KWH,1.878
274,2016-01-03 21:30:00,KWH,1.878
275,2016-01-03 21:45:00,KWH,1.880
276,2016-01-03 22:00:00,KWH,1.883
277,2016-01-03 22:15:00,KWH,1.885
278,2016-01-03 22:30:00,KWH,1.885
279,2016-01-03 23:00:00,KWH,1.885
280,2016-01-03 23:15:00,KWH,1.885
281,2016-01-03 23:30:00,KWH,1.885
282,2016-01-03 23:45:00,KWH,1.885
283,2016-01-04 00:00:00,KWH,1.885
284,2016-01-04 00:15:00,KWH,1.885
285,2016-01-04 00:30:00,KWH,1.885
286,2016-01-04 00:45:00,KWH,1.885
287,2016-01-04 01:00:00,KWH,1.885
288,2016-01-04 01:15:00,KWH,1.885
289,2016-01-04 01:30:00,KWH,1.885
290,2016-01-04 01:45:00,KWH,1.885
291,2016-01-04 02:00:00,KWH,1.885
292,2016-01-04 02:15:00,KWH,1.885
293,2016-01-04 02:30:00,KWH,1.885
294,2016-01-04 02:45:00,KWH,1.885
295,2016-01-04 03:00:00,KWH,1.885
296,2016-01-04 03:15:00,KWH,1.885
297,2016-01-04 03:30:00,KWH,1.885
298,2016-01-04 03:45:00,KWH,1.885
299,2016-01-04 03:45:59,KWH,1.885
300,2016-01-04 04:00:00,KWH,1.885
301,2016-01-04 04:15:00,KWH,1.885
302,2016-01-04 04:30:00,KWH,1.885
303,2016-01-04 04:45:00,KWH,1.885
304,2016-01-04 05:00:00,KWH,1.885
305,2016-01-04 05:15:00,KWH,1.885
306,2016-01-04 05:30:00,KWH,1.885
307,2016-01-04 05:45:00,KWH,1.885
308,2016-01-04 06:00:00,KWH,1.885
309,2016-01-04 06:15:00,KWH,1.885
310,2016-01-04 06:30:00,KWH,1.885
311,2016-01-04 06:45:00,KWH,1.885
312,2016-01-04 07:00:00,KWH,1.885
313,2016-01-04 07:15:00,KWH,1.885
314,2016-01-04 07:30:00,KWH,1.885
315,2016-01-04 07:45:00,KWH,1.885
316,2016-01-04 08:00:00,KWH,1.885
317,2016-01-04 08:15:00,KWH,1.885
318,2016-01-04 08:30:00,KWH,1.885
319,2016-01-04 08:45:00,KWH,1.885
320,2016-01-04 09:00:00,KWH,1.885
321,2016-01-04 09:15:00,KWH,1.885
322,2016-01-04 09:30:00,KWH,1.885
323,2016-01-04 09:45:00,KWH,1.885
324,2016-01-04 10:00:00,KWH,1.885
325,2016-01-04 10:15:00,KWH,1.885
326,2016-01-04 10:30:00,KWH,1.885
327,2016-01-04 10:45:00,KWH,1.885
328,2016-01-04 11:00:00,KWH,1.885
329,2016-01-04 11:15:00,KWH,1.885
330,2016-01-04 11:30:00,KWH,1.885
331,2016-01-04 11:45:00,KWH,1.885
332,2016-01-04 12:00:00,KWH,1.885
333,2016-01-04 12:15:00,KWH,1.885
334,2016-01-04 12:30:00,KWH,1.885
335,2016-01-04 12:45:00,KWH,1.885
336,2016-01-04 13:00:00,KWH,1.885
337,2016-01-04 13:15:00,KWH,1.885
338,2016-01-04 13:30:00,KWH,1.885
339,2016-01-04 13:45:00,KWH,1.885
340,2016-01-04 14:00:00,KWH,1.885
341,2016-01-04 14:15:00,KWH,1.885
342,2016-01-04 14:30:00,KWH,1.885
343,2016-01-04 14:45:00,KWH,1.885
344,2016-01-04 15:00:00,KWH,1.885
345,2016-01-04 15:15:00,KWH,1.885
346,2016-01-04 15:30:00,KWH,1.885
347,2016-01-04 15:45:00,KWH,1.885
348,2016-01-04 16:00:00,KWH,1.885
349,2016-01-04 16:15:00,KWH,1.885
350,2016-01-04 16:30:00,KWH,1.885
351,2016-01-04 16:45:00,KWH,1.885
352,2016-01-04 17:00:00,KWH,1.885
353,2016-01-04 17:15:00,KWH,1.885
354,2016-01-04 17:30:00,KWH,1.885
355,2016-01-04 17:45:00,KWH,1.885
356,2016-01-04 18:00:00,KWH,1.885
357,2016-01-04 18:15:00,KWH,1.885
358,2016-01-04 18:30:00,KWH,1.885
359,2016-01-04 18:45:00,KWH,1.885
