,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,2.911
1,2016-01-01 00:15:00,KWH,2.911
2,2016-01-01 00:30:00,KWH,2.911
3,2016-01-01 00:45:00,KWH,2.911
4,2016-01-01 01:00:00,KWH,2.911
5,2016-01-01 01:15:00,KWH,2.911
6,2016-01-01 01:30:00,KWH,2.911
7,2016-01-01 01:45:00,KWH,2.911
8,2016-01-01 02:00:00,KWH,2.911
9,2016-01-01 02:15:00,KWH,2.911
10,2016-01-01 02:30:00,KWH,2.911
11,2016-01-01 02:45:00,KWH,2.911
12,2016-01-01 03:00:00,KWH,2.911
13,2016-01-01 03:15:00,KWH,2.911
14,2016-01-01 03:30:00,KWH,2.911
15,2016-01-01 03:45:00,KWH,2.911
16,2016-01-01 04:00:00,KWH,2.911
17,2016-01-01 04:15:00,KWH,2.911
18,2016-01-01 04:30:00,KWH,2.911
19,2016-01-01 04:45:00,KWH,2.911
20,2016-01-01 05:00:00,KWH,2.911
21,2016-01-01 05:15:00,KWH,2.911
22,2016-01-01 05:30:00,KWH,2.911
23,2016-01-01 05:45:00,KWH,2.911
24,2016-01-01 06:00:00,KWH,2.911
25,2016-01-01 06:15:00,KWH,2.911
26,2016-01-01 06:30:00,KWH,2.911
27,2016-01-01 06:45:00,KWH,2.911
28,2016-01-01 07:00:00,KWH,2.911
29,2016-01-01 07:15:00,KWH,2.911
30,2016-01-01 07:30:00,KWH,2.911
31,2016-01-01 07:45:00,KWH,2.911
32,2016-01-01 08:00:00,KWH,2.911
33,2016-01-01 08:15:00,KWH,2.911
34,2016-01-01 08:30:00,KWH,2.911
35,2016-01-01 08:45:00,KWH,2.911
36,2016-01-01 09:00:00,KWH,2.911
37,2016-01-01 09:15:00,KWH,2.911
38,2016-01-01 09:30:00,KWH,2.911
39,2016-01-01 09:45:00,KWH,2.911
40,2016-01-01 10:00:00,KWH,2.911
41,2016-01-01 10:15:00,KWH,2.911
42,2016-01-01 10:30:00,KWH,2.911
43,2016-01-01 10:45:00,KWH,2.911
44,2016-01-01 11:00:00,KWH,2.911
45,2016-01-01 11:15:00,KWH,2.911
46,2016-01-01 11:30:00,KWH,2.911
47,2016-01-01 11:45:00,KWH,2.911
48,2016-01-01 12:00:00,KWH,2.911
49,2016-01-01 12:15:00,KWH,2.911
50,2016-01-01 12:30:00,KWH,2.911
51,2016-01-01 12:45:00,KWH,2.911
52,2016-01-01 13:00:00,KWH,2.911
53,2016-01-01 13:15:00,KWH,2.911
54,2016-01-01 13:30:00,KWH,2.911
55,2016-01-01 13:45:00,KWH,2.911
56,2016-01-01 14:00:00,KWH,2.911
57,2016-01-01 14:15:00,KWH,2.911
58,2016-01-01 14:30:00,KWH,2.911
59,2016-01-01 14:45:00,KWH,2.911
60,2016-01-01 14:45:59,KWH,2.911
61,2016-01-01 15:00:00,KWH,2.911
62,2016-01-01 15:15:00,KWH,2.911
63,2016-01-01 15:30:00,KWH,2.911
64,2016-01-01 15:45:00,KWH,2.911
65,2016-01-01 16:00:00,KWH,2.911
66,2016-01-01 16:15:00,KWH,2.911
67,2016-01-01 16:30:00,KWH,2.911
68,2016-01-01 16:45:00,KWH,2.911
69,2016-01-01 17:00:00,KWH,2.911
70,2016-01-01 17:15:00,KWH,2.911
71,2016-01-01 17:30:00,KWH,2.911
72,2016-01-01 17:45:00,KWH,2.911
73,2016-01-01 18:00:00,KWH,2.911
74,2016-01-01 18:15:00,KWH,2.911
75,2016-01-01 18:30:00,KWH,2.911
76,2016-01-01 18:45:00,KWH,2.911
77,2016-01-01 19:00:00,KWH,2.911
78,2016-01-01 19:15:00,KWH,2.911
79,2016-01-01 19:30:00,KWH,2.911
80,2016-01-01 19:45:00,KWH,2.911
81,2016-01-01 20:15:00,KWH,2.911
82,2016-01-01 20:30:00,KWH,2.911
83,2016-01-01 20:45:00,KWH,2.911
84,2016-01-01 21:00:00,KWH,2.911
85,2016-01-01 21:15:00,KWH,2.911
86,2016-01-01 21:30:00,KWH,2.911
87,2016-01-01 21:45:00,KWH,2.911
88,2016-01-01 22:00:00,KWH,2.911
89,2016-01-01 22:15:00,KWH,2.911
90,2016-01-01 22:30:00,KWH,2.911
91,2016-01-01 22:45:00,KWH,2.911
92,2016-01-01 23:00:00,KWH,2.911
93,2016-01-01 23:15:00,KWH,2.911
94,2016-01-01 23:15:59,KWH,2.911
95,2016-01-01 23:30:00,KWH,2.911
96,2016-01-01 23:45:00,KWH,2.911
97,2016-01-02 00:00:00,KWH,2.911
98,2016-01-02 00:15:00,KWH,2.911
99,2016-01-02 00:30:00,KWH,2.911
100,2016-01-02 00:45:00,KWH,2.911
101,2016-01-02 01:00:00,KWH,2.911
102,2016-01-02 01:15:00,KWH,2.911
103,2016-01-02 01:30:00,KWH,2.911
104,2016-01-02 01:45:00,KWH,2.911
105,2016-01-02 01:45:59,KWH,2.911
106,2016-01-02 02:00:00,KWH,2.911
107,2016-01-02 02:15:00,KWH,2.911
108,2016-01-02 02:30:00,KWH,2.911
109,2016-01-02 02:45:00,KWH,2.911
110,2016-01-02 03:00:00,KWH,2.911
