,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,4.841
1,2016-01-01 00:15:00,KWH,4.841
2,2016-01-01 00:30:00,KWH,4.841
3,2016-01-01 00:45:00,KWH,4.841
4,2016-01-01 01:00:00,KWH,4.841
5,2016-01-01 01:15:00,KWH,4.841
6,2016-01-01 01:30:00,KWH,4.841
7,2016-01-01 01:45:00,KWH,4.841
8,2016-01-01 02:00:00,KWH,4.841
9,2016-01-01 02:15:00,KWH,4.841
10,2016-01-01 02:30:00,KWH,4.841
11,2016-01-01 02:45:00,KWH,4.841
12,2016-01-01 03:00:00,KWH,4.841
13,2016-01-01 03:15:00,KWH,4.841
14,2016-01-01 03:30:00,KWH,4.841
15,2016-01-01 03:45:00,KWH,4.841
16,2016-01-01 04:00:00,KWH,4.841
17,2016-01-01 04:15:00,KWH,4.841
18,2016-01-01 04:30:00,KWH,4.841
19,2016-01-01 04:45:00,KWH,4.841
20,2016-01-01 05:00:00,KWH,4.841
21,2016-01-01 05:15:00,KWH,4.841
22,2016-01-01 05:30:00,KWH,4.841
23,2016-01-01 05:45:00,KWH,4.841
24,2016-01-01 06:00:00,KWH,4.841
25,2016-01-01 06:15:00,KWH,4.841
26,2016-01-01 06:30:00,KWH,4.841
27,2016-01-01 06:45:00,KWH,4.841
28,2016-01-01 07:00:00,KWH,4.841
29,2016-01-01 07:15:00,KWH,4.841
30,2016-01-01 07:30:00,KWH,4.841
31,2016-01-01 07:45:00,KWH,4.841
32,2016-01-01 08:00:00,KWH,4.841
33,2016-01-01 08:15:00,KWH,4.841
34,2016-01-01 08:30:00,KWH,4.841
35,2016-01-01 08:45:00,KWH,4.841
36,2016-01-01 09:00:00,KWH,4.841
37,2016-01-01 09:15:00,KWH,4.841
38,2016-01-01 09:30:00,KWH,4.841
39,2016-01-01 09:45:00,KWH,4.841
40,2016-01-01 10:00:00,KWH,4.841
41,2016-01-01 10:15:00,KWH,4.841
42,2016-01-01 10:30:00,KWH,4.841
43,2016-01-01 10:45:00,KWH,4.841
44,2016-01-01 11:00:00,KWH,4.841
45,2016-01-01 11:15:00,KWH,4.841
46,2016-01-01 11:30:00,KWH,4.841
47,2016-01-01 11:45:00,KWH,4.841
48,2016-01-01 12:00:00,KWH,4.841
49,2016-01-01 12:15:00,KWH,4.841
50,2016-01-01 12:30:00,KWH,4.841
51,2016-01-01 12:45:00,KWH,4.841
52,2016-01-01 13:00:00,KWH,4.841
53,2016-01-01 13:15:00,KWH,4.841
54,2016-01-01 13:30:00,KWH,4.841
55,2016-01-01 13:45:00,KWH,4.841
56,2016-01-01 14:00:00,KWH,4.841
57,2016-01-01 14:15:00,KWH,4.841
58,2016-01-01 14:30:00,KWH,4.841
59,2016-01-01 14:45:00,KWH,4.841
60,2016-01-01 15:00:00,KWH,4.841
61,2016-01-01 15:15:00,KWH,4.841
62,2016-01-01 15:30:00,KWH,4.841
63,2016-01-01 15:45:00,KWH,4.841
64,2016-01-01 16:00:00,KWH,4.841
