,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,24.693
1,2016-01-01 00:15:00,KWH,24.698
2,2016-01-01 00:30:00,KWH,24.704
3,2016-01-01 00:45:00,KWH,24.708
4,2016-01-01 01:00:00,KWH,24.711
5,2016-01-01 01:30:00,KWH,24.718
6,2016-01-01 01:45:00,KWH,24.721
7,2016-01-01 02:00:00,KWH,24.725
8,2016-01-01 02:15:00,KWH,24.728
9,2016-01-01 02:30:00,KWH,24.731
10,2016-01-01 02:45:00,KWH,24.734
11,2016-01-01 03:00:00,KWH,24.738
12,2016-01-01 03:15:00,KWH,24.741
13,2016-01-01 03:30:00,KWH,24.744
14,2016-01-01 03:45:00,KWH,24.747
15,2016-01-01 04:00:00,KWH,24.749
16,2016-01-01 04:15:00,KWH,24.749
17,2016-01-01 04:30:00,KWH,24.749
18,2016-01-01 04:45:00,KWH,24.749
19,2016-01-01 05:00:00,KWH,24.749
20,2016-01-01 05:15:00,KWH,24.749
21,2016-01-01 05:30:00,KWH,24.749
22,2016-01-01 05:45:00,KWH,24.749
23,2016-01-01 06:00:00,KWH,24.749
24,2016-01-01 06:15:00,KWH,24.749
25,2016-01-01 06:30:00,KWH,24.749
26,2016-01-01 06:45:00,KWH,24.749
27,2016-01-01 07:00:00,KWH,24.749
28,2016-01-01 07:15:00,KWH,24.749
29,2016-01-01 07:30:00,KWH,24.749
30,2016-01-01 07:45:00,KWH,24.749
31,2016-01-01 08:00:00,KWH,24.749
32,2016-01-01 08:15:00,KWH,24.749
33,2016-01-01 08:30:00,KWH,24.749
34,2016-01-01 08:45:00,KWH,24.749
35,2016-01-01 09:00:00,KWH,24.749
36,2016-01-01 09:15:00,KWH,24.749
37,2016-01-01 09:30:00,KWH,24.749
38,2016-01-01 09:45:00,KWH,24.749
39,2016-01-01 10:00:00,KWH,24.749
40,2016-01-01 10:15:00,KWH,24.749
41,2016-01-01 10:30:00,KWH,24.749
42,2016-01-01 10:45:00,KWH,24.749
43,2016-01-01 11:00:00,KWH,24.749
44,2016-01-01 11:30:00,KWH,24.749
45,2016-01-01 11:45:00,KWH,24.749
46,2016-01-01 12:00:00,KWH,24.749
47,2016-01-01 12:15:00,KWH,24.749
48,2016-01-01 12:30:00,KWH,24.749
49,2016-01-01 12:45:00,KWH,24.749
50,2016-01-01 13:00:00,KWH,24.749
51,2016-01-01 13:15:00,KWH,24.749
52,2016-01-01 13:30:00,KWH,24.749
