,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,5.368
1,2016-01-01 00:15:00,KWH,5.368
2,2016-01-01 00:30:00,KWH,5.368
3,2016-01-01 00:45:00,KWH,5.368
4,2016-01-01 01:00:00,KWH,5.368
5,2016-01-01 01:15:00,KWH,5.368
6,2016-01-01 01:30:00,KWH,5.368
7,2016-01-01 01:45:00,KWH,5.368
8,2016-01-01 02:00:00,KWH,5.368
9,2016-01-01 02:15:00,KWH,5.368
10,2016-01-01 02:30:00,KWH,5.368
11,2016-01-01 02:45:00,KWH,5.368
12,2016-01-01 03:00:00,KWH,5.368
13,2016-01-01 03:15:00,KWH,5.368
14,2016-01-01 03:30:00,KWH,5.368
15,2016-01-01 03:45:00,KWH,5.368
16,2016-01-01 04:00:00,KWH,5.368
17,2016-01-01 04:15:00,KWH,5.368
18,2016-01-01 04:30:00,KWH,5.368
19,2016-01-01 04:45:00,KWH,5.368
20,2016-01-01 05:00:00,KWH,5.368
21,2016-01-01 05:15:00,KWH,5.368
22,2016-01-01 05:30:00,KWH,5.368
23,2016-01-01 05:45:00,KWH,5.368
24,2016-01-01 06:00:00,KWH,5.368
25,2016-01-01 06:15:00,KWH,5.368
26,2016-01-01 06:30:00,KWH,5.368
27,2016-01-01 06:45:00,KWH,5.368
28,2016-01-01 07:00:00,KWH,5.368
29,2016-01-01 07:15:00,KWH,5.368
30,2016-01-01 07:30:00,KWH,5.368
31,2016-01-01 07:45:00,KWH,5.368
32,2016-01-01 08:00:00,KWH,5.368
33,2016-01-01 08:15:00,KWH,5.368
34,2016-01-01 08:30:00,KWH,5.368
35,2016-01-01 08:45:00,KWH,5.368
36,2016-01-01 09:00:00,KWH,5.368
37,2016-01-01 09:15:00,KWH,5.368
38,2016-01-01 09:30:00,KWH,5.368
39,2016-01-01 09:45:00,KWH,5.368
40,2016-01-01 10:00:00,KWH,5.368
41,2016-01-01 10:15:00,KWH,5.368
42,2016-01-01 10:30:00,KWH,5.368
43,2016-01-01 10:45:00,KWH,5.368
44,2016-01-01 11:00:00,KWH,5.368
45,2016-01-01 11:15:00,KWH,5.368
46,2016-01-01 11:30:00,KWH,5.368
47,2016-01-01 11:45:00,KWH,5.368
48,2016-01-01 12:00:00,KWH,5.368
49,2016-01-01 12:15:00,KWH,5.368
50,2016-01-01 12:30:00,KWH,5.368
51,2016-01-01 12:45:00,KWH,5.368
52,2016-01-01 13:00:00,KWH,5.368
53,2016-01-01 13:15:00,KWH,5.368
54,2016-01-01 13:30:00,KWH,5.368
55,2016-01-01 13:45:00,KWH,5.368
56,2016-01-01 14:00:00,KWH,5.368
57,2016-01-01 14:15:00,KWH,5.368
58,2016-01-01 14:30:00,KWH,5.368
59,2016-01-01 14:45:00,KWH,5.368
60,2016-01-01 15:00:00,KWH,5.368
61,2016-01-01 15:15:00,KWH,5.368
62,2016-01-01 15:30:00,KWH,5.368
63,2016-01-01 15:45:00,KWH,5.368
64,2016-01-01 16:00:00,KWH,5.368
65,2016-01-01 16:15:00,KWH,5.368
66,2016-01-01 16:30:00,KWH,5.368
67,2016-01-01 16:45:00,KWH,5.368
68,2016-01-01 17:00:00,KWH,5.368
69,2016-01-01 17:15:00,KWH,5.368
70,2016-01-01 17:30:00,KWH,5.368
71,2016-01-01 17:45:00,KWH,5.368
72,2016-01-01 18:00:00,KWH,5.368
73,2016-01-01 18:15:00,KWH,5.368
74,2016-01-01 18:30:00,KWH,5.368
75,2016-01-01 18:45:00,KWH,5.368
76,2016-01-01 19:00:00,KWH,5.368
77,2016-01-01 19:15:00,KWH,5.368
78,2016-01-01 19:15:59,KWH,5.368
79,2016-01-01 19:30:00,KWH,5.368
80,2016-01-01 19:45:00,KWH,5.368
81,2016-01-01 20:00:00,KWH,5.368
82,2016-01-01 20:15:00,KWH,5.368
83,2016-01-01 20:30:00,KWH,5.368
84,2016-01-01 20:45:00,KWH,5.368
85,2016-01-01 21:00:00,KWH,5.368
86,2016-01-01 21:15:00,KWH,5.368
87,2016-01-01 21:30:00,KWH,5.368
88,2016-01-01 21:45:00,KWH,5.368
89,2016-01-01 22:00:00,KWH,5.368
90,2016-01-01 22:15:00,KWH,5.368
91,2016-01-01 22:30:00,KWH,5.368
92,2016-01-01 22:45:00,KWH,5.368
93,2016-01-01 23:00:00,KWH,5.368
94,2016-01-01 23:15:00,KWH,5.368
95,2016-01-01 23:30:00,KWH,5.368
96,2016-01-01 23:45:00,KWH,5.368
97,2016-01-02 00:00:00,KWH,5.368
98,2016-01-02 00:15:00,KWH,5.368
99,2016-01-02 00:30:00,KWH,5.368
100,2016-01-02 00:45:00,KWH,5.368
101,2016-01-02 01:15:00,KWH,5.368
102,2016-01-02 01:30:00,KWH,5.368
103,2016-01-02 01:45:00,KWH,5.368
104,2016-01-02 02:00:00,KWH,5.368
105,2016-01-02 02:15:00,KWH,5.368
106,2016-01-02 02:30:00,KWH,5.368
107,2016-01-02 02:45:00,KWH,5.368
108,2016-01-02 03:00:00,KWH,5.368
109,2016-01-02 03:15:00,KWH,5.368
110,2016-01-02 03:30:00,KWH,5.368
111,2016-01-02 03:45:00,KWH,5.368
112,2016-01-02 04:00:00,KWH,5.368
113,2016-01-02 04:15:00,KWH,5.368
