,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,49.953
1,2016-01-01 00:15:00,KWH,49.957
2,2016-01-01 00:30:00,KWH,49.961
3,2016-01-01 00:45:00,KWH,49.964
4,2016-01-01 01:00:00,KWH,49.968
5,2016-01-01 01:15:00,KWH,49.972
6,2016-01-01 01:30:00,KWH,49.975
7,2016-01-01 01:45:00,KWH,49.979
8,2016-01-01 02:00:00,KWH,49.983
9,2016-01-01 02:15:00,KWH,49.986
10,2016-01-01 02:30:00,KWH,49.990
11,2016-01-01 02:45:00,KWH,49.994
12,2016-01-01 03:00:00,KWH,49.997
13,2016-01-01 03:15:00,KWH,49.997
14,2016-01-01 03:30:00,KWH,49.997
15,2016-01-01 03:45:00,KWH,49.997
16,2016-01-01 04:00:00,KWH,49.997
17,2016-01-01 04:15:00,KWH,49.997
18,2016-01-01 04:30:00,KWH,49.997
19,2016-01-01 04:45:00,KWH,49.997
20,2016-01-01 05:00:00,KWH,49.997
21,2016-01-01 05:15:00,KWH,49.997
22,2016-01-01 05:30:00,KWH,49.997
23,2016-01-01 05:45:00,KWH,49.997
24,2016-01-01 06:00:00,KWH,49.997
25,2016-01-01 06:15:00,KWH,49.997
26,2016-01-01 06:30:00,KWH,49.997
27,2016-01-01 06:45:00,KWH,49.997
28,2016-01-01 07:00:00,KWH,49.997
29,2016-01-01 07:15:00,KWH,49.997
30,2016-01-01 07:30:00,KWH,49.997
31,2016-01-01 07:45:00,KWH,49.997
32,2016-01-01 08:00:00,KWH,49.997
33,2016-01-01 08:15:00,KWH,49.997
34,2016-01-01 08:30:00,KWH,49.997
35,2016-01-01 08:45:00,KWH,49.997
36,2016-01-01 09:00:00,KWH,49.997
37,2016-01-01 09:15:00,KWH,49.997
38,2016-01-01 09:30:00,KWH,49.997
39,2016-01-01 09:45:00,KWH,49.997
40,2016-01-01 10:00:00,KWH,49.997
41,2016-01-01 10:15:00,KWH,49.997
42,2016-01-01 10:30:00,KWH,49.997
43,2016-01-01 10:45:00,KWH,49.997
44,2016-01-01 11:00:00,KWH,49.997
45,2016-01-01 11:15:00,KWH,49.997
46,2016-01-01 11:30:00,KWH,49.997
47,2016-01-01 11:45:00,KWH,49.997
48,2016-01-01 12:00:00,KWH,49.997
49,2016-01-01 12:15:00,KWH,49.997
50,2016-01-01 12:30:00,KWH,49.997
51,2016-01-01 12:45:00,KWH,49.997
52,2016-01-01 13:00:00,KWH,49.997
53,2016-01-01 13:15:00,KWH,49.997
54,2016-01-01 13:30:00,KWH,49.997
55,2016-01-01 13:45:00,KWH,49.997
56,2016-01-01 14:00:00,KWH,49.997
57,2016-01-01 14:15:00,KWH,49.997
58,2016-01-01 14:30:00,KWH,49.997
59,2016-01-01 14:45:00,KWH,49.997
60,2016-01-01 15:00:00,KWH,49.997
61,2016-01-01 15:15:00,KWH,49.997
62,2016-01-01 15:30:00,KWH,49.997
63,2016-01-01 15:45:00,KWH,49.997
64,2016-01-01 16:00:00,KWH,49.997
65,2016-01-01 16:15:00,KWH,49.997
66,2016-01-01 16:30:00,KWH,50.001
67,2016-01-01 16:45:00,KWH,50.005
68,2016-01-01 17:00:00,KWH,50.009
69,2016-01-01 17:15:00,KWH,50.014
70,2016-01-01 17:30:00,KWH,50.019
71,2016-01-01 17:45:00,KWH,50.024
72,2016-01-01 18:00:00,KWH,50.028
73,2016-01-01 18:15:00,KWH,50.032
74,2016-01-01 18:30:00,KWH,50.037
75,2016-01-01 18:45:00,KWH,50.041
76,2016-01-01 19:00:00,KWH,50.045
77,2016-01-01 19:15:00,KWH,50.049
78,2016-01-01 19:30:00,KWH,50.054
79,2016-01-01 19:45:00,KWH,50.058
80,2016-01-01 20:00:00,KWH,50.062
81,2016-01-01 20:15:00,KWH,50.066
82,2016-01-01 20:30:00,KWH,50.071
83,2016-01-01 20:45:00,KWH,50.075
84,2016-01-01 21:00:00,KWH,50.079
85,2016-01-01 21:15:00,KWH,50.083
86,2016-01-01 21:30:00,KWH,50.088
87,2016-01-01 21:45:00,KWH,50.092
88,2016-01-01 22:00:00,KWH,50.096
89,2016-01-01 22:15:00,KWH,50.100
90,2016-01-01 22:30:00,KWH,50.104
91,2016-01-01 22:45:00,KWH,50.109
92,2016-01-01 23:00:00,KWH,50.113
93,2016-01-01 23:15:00,KWH,50.117
94,2016-01-01 23:30:00,KWH,50.121
95,2016-01-01 23:45:00,KWH,50.126
96,2016-01-02 00:00:00,KWH,50.130
97,2016-01-02 00:15:00,KWH,50.134
98,2016-01-02 00:45:00,KWH,50.142
99,2016-01-02 01:00:00,KWH,50.147
