,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,189.324
1,2016-01-01 00:15:00,KWH,189.354
2,2016-01-01 00:30:00,KWH,189.386
3,2016-01-01 00:45:00,KWH,189.408
4,2016-01-01 01:00:00,KWH,189.426
5,2016-01-01 01:15:00,KWH,189.444
6,2016-01-01 01:30:00,KWH,189.462
7,2016-01-01 01:45:00,KWH,189.483
8,2016-01-01 02:00:00,KWH,189.515
9,2016-01-01 02:15:00,KWH,189.545
10,2016-01-01 02:30:00,KWH,189.576
11,2016-01-01 02:45:00,KWH,189.606
12,2016-01-01 03:00:00,KWH,189.637
13,2016-01-01 03:15:00,KWH,189.663
14,2016-01-01 03:30:00,KWH,189.681
15,2016-01-01 03:45:00,KWH,189.699
16,2016-01-01 04:00:00,KWH,189.715
17,2016-01-01 04:15:00,KWH,189.726
18,2016-01-01 04:30:00,KWH,189.734
19,2016-01-01 04:45:00,KWH,189.742
20,2016-01-01 05:00:00,KWH,189.750
21,2016-01-01 05:15:00,KWH,189.758
22,2016-01-01 05:30:00,KWH,189.767
23,2016-01-01 05:45:00,KWH,189.775
24,2016-01-01 06:00:00,KWH,189.783
25,2016-01-01 06:15:00,KWH,189.790
26,2016-01-01 06:30:00,KWH,189.796
27,2016-01-01 06:45:00,KWH,189.803
28,2016-01-01 07:00:00,KWH,189.809
29,2016-01-01 07:15:00,KWH,189.816
30,2016-01-01 07:30:00,KWH,189.823
31,2016-01-01 07:45:00,KWH,189.829
32,2016-01-01 08:00:00,KWH,189.836
33,2016-01-01 08:15:00,KWH,189.843
34,2016-01-01 08:30:00,KWH,189.849
35,2016-01-01 08:45:00,KWH,189.856
36,2016-01-01 09:00:00,KWH,189.863
37,2016-01-01 09:15:00,KWH,189.869
38,2016-01-01 09:30:00,KWH,189.888
39,2016-01-01 09:45:00,KWH,189.910
40,2016-01-01 10:00:00,KWH,189.931
41,2016-01-01 10:15:00,KWH,189.950
42,2016-01-01 10:30:00,KWH,189.957
43,2016-01-01 10:45:00,KWH,189.978
44,2016-01-01 11:00:00,KWH,189.999
45,2016-01-01 11:15:00,KWH,190.013
46,2016-01-01 11:30:00,KWH,190.020
47,2016-01-01 11:45:00,KWH,190.027
48,2016-01-01 11:45:00,KWH,190.027
49,2016-01-01 12:00:00,KWH,190.034
50,2016-01-01 12:15:00,KWH,190.040
51,2016-01-01 12:30:00,KWH,190.047
52,2016-01-01 12:45:00,KWH,190.053
53,2016-01-01 13:00:00,KWH,190.060
54,2016-01-01 13:15:00,KWH,190.067
55,2016-01-01 13:30:00,KWH,190.079
56,2016-01-01 13:45:00,KWH,190.101
57,2016-01-01 14:00:00,KWH,190.124
58,2016-01-01 14:30:00,KWH,190.170
59,2016-01-01 14:45:00,KWH,190.188
60,2016-01-01 15:00:00,KWH,190.196
61,2016-01-01 15:15:00,KWH,190.216
62,2016-01-01 15:30:00,KWH,190.240
63,2016-01-01 15:45:00,KWH,190.266
64,2016-01-01 16:00:00,KWH,190.293
65,2016-01-01 16:15:00,KWH,190.322
66,2016-01-01 16:30:00,KWH,190.352
67,2016-01-01 16:45:00,KWH,190.382
68,2016-01-01 17:00:00,KWH,190.412
69,2016-01-01 17:15:00,KWH,190.442
70,2016-01-01 17:30:00,KWH,190.471
71,2016-01-01 17:45:00,KWH,190.501
72,2016-01-01 18:00:00,KWH,190.530
73,2016-01-01 18:15:00,KWH,190.561
74,2016-01-01 18:30:00,KWH,190.594
75,2016-01-01 18:45:00,KWH,190.625
76,2016-01-01 19:00:00,KWH,190.657
