,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,18.788
1,2016-01-01 00:15:00,KWH,18.796
2,2016-01-01 00:30:00,KWH,18.804
3,2016-01-01 00:45:00,KWH,18.810
4,2016-01-01 01:00:00,KWH,18.817
5,2016-01-01 01:15:00,KWH,18.823
6,2016-01-01 01:30:00,KWH,18.829
7,2016-01-01 01:45:00,KWH,18.836
8,2016-01-01 02:00:00,KWH,18.842
9,2016-01-01 02:15:00,KWH,18.849
10,2016-01-01 02:30:00,KWH,18.855
11,2016-01-01 02:45:00,KWH,18.862
12,2016-01-01 03:00:00,KWH,18.868
13,2016-01-01 03:15:00,KWH,18.874
14,2016-01-01 03:30:00,KWH,18.881
15,2016-01-01 03:45:00,KWH,18.883
16,2016-01-01 04:00:00,KWH,18.883
17,2016-01-01 04:15:00,KWH,18.883
18,2016-01-01 04:30:00,KWH,18.883
19,2016-01-01 04:45:00,KWH,18.883
20,2016-01-01 05:00:00,KWH,18.883
21,2016-01-01 05:15:00,KWH,18.883
22,2016-01-01 05:30:00,KWH,18.883
23,2016-01-01 05:45:00,KWH,18.883
24,2016-01-01 06:00:00,KWH,18.883
25,2016-01-01 06:15:00,KWH,18.883
26,2016-01-01 06:30:00,KWH,18.883
27,2016-01-01 06:45:00,KWH,18.883
28,2016-01-01 07:00:00,KWH,18.883
29,2016-01-01 07:15:00,KWH,18.883
30,2016-01-01 07:30:00,KWH,18.883
31,2016-01-01 07:45:00,KWH,18.883
32,2016-01-01 08:00:00,KWH,18.883
33,2016-01-01 08:15:00,KWH,18.884
34,2016-01-01 08:30:00,KWH,18.888
35,2016-01-01 08:45:00,KWH,18.890
36,2016-01-01 09:00:00,KWH,18.895
37,2016-01-01 09:15:00,KWH,18.901
38,2016-01-01 09:30:00,KWH,18.904
39,2016-01-01 09:45:00,KWH,18.907
40,2016-01-01 10:00:00,KWH,18.911
41,2016-01-01 10:15:00,KWH,18.915
42,2016-01-01 10:30:00,KWH,18.915
43,2016-01-01 10:45:00,KWH,18.915
44,2016-01-01 11:00:00,KWH,18.915
45,2016-01-01 11:15:00,KWH,18.915
46,2016-01-01 11:30:00,KWH,18.915
47,2016-01-01 11:45:00,KWH,18.915
48,2016-01-01 12:00:00,KWH,18.915
49,2016-01-01 12:15:00,KWH,18.915
50,2016-01-01 12:30:00,KWH,18.915
51,2016-01-01 12:45:00,KWH,18.915
52,2016-01-01 13:00:00,KWH,18.915
53,2016-01-01 13:15:00,KWH,18.915
54,2016-01-01 13:30:00,KWH,18.915
55,2016-01-01 13:45:00,KWH,18.915
56,2016-01-01 14:00:00,KWH,18.915
57,2016-01-01 14:15:00,KWH,18.915
58,2016-01-01 14:30:00,KWH,18.915
