,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,25.470
1,2016-01-01 00:15:00,KWH,25.476
2,2016-01-01 00:30:00,KWH,25.479
3,2016-01-01 00:45:00,KWH,25.482
4,2016-01-01 01:00:00,KWH,25.485
5,2016-01-01 01:15:00,KWH,25.488
6,2016-01-01 01:30:00,KWH,25.491
7,2016-01-01 01:45:00,KWH,25.494
8,2016-01-01 02:00:00,KWH,25.498
9,2016-01-01 02:15:00,KWH,25.501
10,2016-01-01 02:30:00,KWH,25.504
11,2016-01-01 02:45:00,KWH,25.506
12,2016-01-01 03:00:00,KWH,25.506
13,2016-01-01 03:15:00,KWH,25.506
14,2016-01-01 03:30:00,KWH,25.506
15,2016-01-01 03:45:00,KWH,25.506
16,2016-01-01 04:00:00,KWH,25.506
17,2016-01-01 04:15:00,KWH,25.506
18,2016-01-01 04:30:00,KWH,25.506
19,2016-01-01 04:45:00,KWH,25.506
20,2016-01-01 05:00:00,KWH,25.506
21,2016-01-01 05:15:00,KWH,25.506
22,2016-01-01 05:30:00,KWH,25.506
23,2016-01-01 05:45:00,KWH,25.506
24,2016-01-01 06:00:00,KWH,25.506
25,2016-01-01 06:15:00,KWH,25.506
26,2016-01-01 06:30:00,KWH,25.506
27,2016-01-01 06:45:00,KWH,25.506
28,2016-01-01 07:00:00,KWH,25.506
29,2016-01-01 07:15:00,KWH,25.506
30,2016-01-01 07:30:00,KWH,25.506
31,2016-01-01 07:45:00,KWH,25.506
32,2016-01-01 08:00:00,KWH,25.506
33,2016-01-01 08:15:00,KWH,25.506
34,2016-01-01 08:30:00,KWH,25.506
35,2016-01-01 08:45:00,KWH,25.506
36,2016-01-01 09:00:00,KWH,25.506
37,2016-01-01 09:15:00,KWH,25.506
38,2016-01-01 09:30:00,KWH,25.506
39,2016-01-01 09:45:00,KWH,25.506
40,2016-01-01 10:00:00,KWH,25.506
41,2016-01-01 10:15:00,KWH,25.506
42,2016-01-01 10:30:00,KWH,25.506
43,2016-01-01 10:45:00,KWH,25.506
44,2016-01-01 11:00:00,KWH,25.506
45,2016-01-01 11:15:00,KWH,25.506
46,2016-01-01 11:30:00,KWH,25.506
47,2016-01-01 11:45:00,KWH,25.506
48,2016-01-01 12:00:00,KWH,25.506
49,2016-01-01 12:15:00,KWH,25.506
