,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,35.164
1,2016-01-01 00:15:00,KWH,35.164
2,2016-01-01 00:30:00,KWH,35.164
3,2016-01-01 00:45:00,KWH,35.164
4,2016-01-01 01:00:00,KWH,35.166
5,2016-01-01 01:15:00,KWH,35.170
6,2016-01-01 01:30:00,KWH,35.171
7,2016-01-01 01:45:00,KWH,35.171
8,2016-01-01 02:00:00,KWH,35.171
9,2016-01-01 02:15:00,KWH,35.171
10,2016-01-01 02:30:00,KWH,35.171
11,2016-01-01 02:45:00,KWH,35.171
12,2016-01-01 03:00:00,KWH,35.171
13,2016-01-01 03:15:00,KWH,35.171
14,2016-01-01 03:30:00,KWH,35.171
15,2016-01-01 03:45:00,KWH,35.171
16,2016-01-01 04:00:00,KWH,35.171
17,2016-01-01 04:15:00,KWH,35.171
18,2016-01-01 04:30:00,KWH,35.171
19,2016-01-01 04:45:00,KWH,35.171
20,2016-01-01 05:00:00,KWH,35.171
21,2016-01-01 05:15:00,KWH,35.171
22,2016-01-01 05:30:00,KWH,35.171
23,2016-01-01 05:45:00,KWH,35.171
24,2016-01-01 06:00:00,KWH,35.171
25,2016-01-01 06:15:00,KWH,35.171
26,2016-01-01 06:30:00,KWH,35.171
27,2016-01-01 06:45:00,KWH,35.171
28,2016-01-01 07:00:00,KWH,35.171
29,2016-01-01 07:15:00,KWH,35.171
30,2016-01-01 07:30:00,KWH,35.171
31,2016-01-01 07:45:00,KWH,35.171
32,2016-01-01 08:00:00,KWH,35.171
33,2016-01-01 08:15:00,KWH,35.171
34,2016-01-01 08:30:00,KWH,35.171
35,2016-01-01 08:45:00,KWH,35.171
36,2016-01-01 09:00:00,KWH,35.171
37,2016-01-01 09:15:00,KWH,35.171
38,2016-01-01 09:30:00,KWH,35.173
39,2016-01-01 09:45:00,KWH,35.182
40,2016-01-01 10:00:00,KWH,35.192
41,2016-01-01 10:15:00,KWH,35.207
42,2016-01-01 10:30:00,KWH,35.218
43,2016-01-01 10:45:00,KWH,35.236
44,2016-01-01 11:00:00,KWH,35.253
45,2016-01-01 11:15:00,KWH,35.272
46,2016-01-01 11:30:00,KWH,35.288
47,2016-01-01 11:45:00,KWH,35.304
48,2016-01-01 12:00:00,KWH,35.319
49,2016-01-01 12:15:00,KWH,35.332
50,2016-01-01 12:30:00,KWH,35.342
51,2016-01-01 12:45:00,KWH,35.351
52,2016-01-01 13:00:00,KWH,35.368
53,2016-01-01 13:15:00,KWH,35.398
54,2016-01-01 13:15:59,KWH,35.400
55,2016-01-01 13:30:00,KWH,35.426
56,2016-01-01 13:45:00,KWH,35.446
57,2016-01-01 14:00:00,KWH,35.460
58,2016-01-01 14:15:00,KWH,35.470
59,2016-01-01 14:30:00,KWH,35.470
60,2016-01-01 14:45:00,KWH,35.470
61,2016-01-01 15:00:00,KWH,35.470
62,2016-01-01 15:15:00,KWH,35.470
63,2016-01-01 15:30:00,KWH,35.470
64,2016-01-01 15:45:00,KWH,35.470
65,2016-01-01 16:00:00,KWH,35.470
66,2016-01-01 16:15:00,KWH,35.470
67,2016-01-01 16:30:00,KWH,35.470
68,2016-01-01 16:45:00,KWH,35.470
69,2016-01-01 17:00:00,KWH,35.470
70,2016-01-01 17:15:00,KWH,35.470
71,2016-01-01 17:30:00,KWH,35.470
72,2016-01-01 17:45:00,KWH,35.470
73,2016-01-01 18:00:00,KWH,35.470
74,2016-01-01 18:00:59,KWH,35.470
75,2016-01-01 18:15:00,KWH,35.470
76,2016-01-01 18:30:00,KWH,35.470
77,2016-01-01 18:45:00,KWH,35.471
78,2016-01-01 19:00:00,KWH,35.475
79,2016-01-01 19:15:00,KWH,35.479
80,2016-01-01 19:30:00,KWH,35.483
81,2016-01-01 19:45:00,KWH,35.488
82,2016-01-01 20:00:00,KWH,35.495
83,2016-01-01 20:15:00,KWH,35.504
84,2016-01-01 20:30:00,KWH,35.512
85,2016-01-01 20:45:00,KWH,35.521
86,2016-01-01 21:00:00,KWH,35.527
87,2016-01-01 21:15:00,KWH,35.528
88,2016-01-01 21:30:00,KWH,35.530
89,2016-01-01 21:45:00,KWH,35.531
90,2016-01-01 22:00:00,KWH,35.533
91,2016-01-01 22:15:00,KWH,35.535
92,2016-01-01 22:30:00,KWH,35.536
93,2016-01-01 22:45:00,KWH,35.538
94,2016-01-01 23:00:00,KWH,35.540
95,2016-01-01 23:15:00,KWH,35.541
96,2016-01-01 23:30:00,KWH,35.543
97,2016-01-01 23:45:00,KWH,35.544
98,2016-01-02 00:00:00,KWH,35.546
99,2016-01-02 00:15:00,KWH,35.548
100,2016-01-02 00:30:00,KWH,35.549
101,2016-01-02 00:45:00,KWH,35.551
102,2016-01-02 01:00:00,KWH,35.552
103,2016-01-02 01:15:00,KWH,35.554
104,2016-01-02 01:30:00,KWH,35.555
105,2016-01-02 01:45:00,KWH,35.555
106,2016-01-02 02:00:00,KWH,35.555
107,2016-01-02 02:15:00,KWH,35.555
108,2016-01-02 02:30:00,KWH,35.555
109,2016-01-02 02:45:00,KWH,35.555
110,2016-01-02 03:00:00,KWH,35.555
111,2016-01-02 03:15:00,KWH,35.555
112,2016-01-02 03:30:00,KWH,35.555
113,2016-01-02 03:45:00,KWH,35.555
114,2016-01-02 04:00:00,KWH,35.555
115,2016-01-02 04:15:00,KWH,35.555
116,2016-01-02 04:30:00,KWH,35.555
117,2016-01-02 04:45:00,KWH,35.555
118,2016-01-02 05:00:00,KWH,35.555
119,2016-01-02 05:15:00,KWH,35.555
120,2016-01-02 05:30:00,KWH,35.555
121,2016-01-02 05:45:00,KWH,35.555
122,2016-01-02 06:00:00,KWH,35.555
123,2016-01-02 06:15:00,KWH,35.555
124,2016-01-02 06:30:00,KWH,35.555
125,2016-01-02 06:45:00,KWH,35.555
126,2016-01-02 07:00:00,KWH,35.555
127,2016-01-02 07:15:00,KWH,35.555
128,2016-01-02 07:30:00,KWH,35.555
129,2016-01-02 07:45:00,KWH,35.555
130,2016-01-02 08:00:00,KWH,35.555
131,2016-01-02 08:15:00,KWH,35.555
132,2016-01-02 08:30:00,KWH,35.555
133,2016-01-02 08:45:00,KWH,35.555
134,2016-01-02 09:00:00,KWH,35.555
135,2016-01-02 09:15:00,KWH,35.555
136,2016-01-02 09:30:00,KWH,35.555
137,2016-01-02 09:45:00,KWH,35.555
138,2016-01-02 10:00:00,KWH,35.555
139,2016-01-02 10:15:00,KWH,35.555
140,2016-01-02 10:30:00,KWH,35.555
141,2016-01-02 10:45:00,KWH,35.555
142,2016-01-02 11:00:00,KWH,35.555
143,2016-01-02 11:15:00,KWH,35.555
144,2016-01-02 11:30:00,KWH,35.555
145,2016-01-02 11:45:00,KWH,35.555
146,2016-01-02 12:00:00,KWH,35.555
147,2016-01-02 12:15:00,KWH,35.555
148,2016-01-02 12:30:00,KWH,35.555
149,2016-01-02 12:45:00,KWH,35.555
150,2016-01-02 13:00:00,KWH,35.555
151,2016-01-02 13:15:00,KWH,35.555
152,2016-01-02 13:30:00,KWH,35.555
153,2016-01-02 13:45:00,KWH,35.555
154,2016-01-02 14:00:00,KWH,35.555
155,2016-01-02 14:15:00,KWH,35.555
156,2016-01-02 14:30:00,KWH,35.555
157,2016-01-02 14:45:00,KWH,35.555
158,2016-01-02 15:00:00,KWH,35.555
159,2016-01-02 15:15:00,KWH,35.555
160,2016-01-02 15:30:00,KWH,35.555
161,2016-01-02 15:45:00,KWH,35.555
162,2016-01-02 16:00:00,KWH,35.555
163,2016-01-02 16:15:00,KWH,35.555
164,2016-01-02 16:30:00,KWH,35.555
165,2016-01-02 16:45:00,KWH,35.555
166,2016-01-02 17:00:00,KWH,35.555
167,2016-01-02 17:15:00,KWH,35.555
168,2016-01-02 17:30:00,KWH,35.555
169,2016-01-02 17:45:00,KWH,35.555
170,2016-01-02 18:00:00,KWH,35.555
171,2016-01-02 18:15:00,KWH,35.555
172,2016-01-02 18:30:00,KWH,35.555
173,2016-01-02 18:45:00,KWH,35.555
174,2016-01-02 19:00:00,KWH,35.555
175,2016-01-02 19:15:00,KWH,35.555
176,2016-01-02 19:30:00,KWH,35.555
177,2016-01-02 19:45:00,KWH,35.555
178,2016-01-02 19:45:59,KWH,35.555
179,2016-01-02 20:00:00,KWH,35.555
180,2016-01-02 20:15:00,KWH,35.555
181,2016-01-02 20:30:00,KWH,35.555
182,2016-01-02 20:45:00,KWH,35.555
183,2016-01-02 21:00:00,KWH,35.555
184,2016-01-02 21:15:00,KWH,35.555
185,2016-01-02 21:30:00,KWH,35.555
186,2016-01-02 21:45:00,KWH,35.555
187,2016-01-02 22:00:00,KWH,35.555
188,2016-01-02 22:15:00,KWH,35.555
189,2016-01-02 22:30:00,KWH,35.555
190,2016-01-02 22:45:00,KWH,35.555
191,2016-01-02 23:00:00,KWH,35.555
192,2016-01-02 23:15:00,KWH,35.555
193,2016-01-02 23:30:00,KWH,35.555
194,2016-01-02 23:45:00,KWH,35.555
195,2016-01-03 00:00:00,KWH,35.555
196,2016-01-03 00:15:00,KWH,35.555
197,2016-01-03 00:30:00,KWH,35.555
198,2016-01-03 00:45:00,KWH,35.555
199,2016-01-03 01:00:00,KWH,35.555
200,2016-01-03 01:15:00,KWH,35.555
201,2016-01-03 01:30:00,KWH,35.555
202,2016-01-03 01:45:00,KWH,35.555
203,2016-01-03 02:00:00,KWH,35.555
204,2016-01-03 02:15:00,KWH,35.555
205,2016-01-03 02:30:00,KWH,35.555
206,2016-01-03 02:45:00,KWH,35.555
207,2016-01-03 03:00:00,KWH,35.555
208,2016-01-03 03:15:00,KWH,35.555
209,2016-01-03 03:30:00,KWH,35.555
210,2016-01-03 03:45:00,KWH,35.555
211,2016-01-03 03:45:59,KWH,35.555
212,2016-01-03 04:00:00,KWH,35.555
213,2016-01-03 04:15:00,KWH,35.555
214,2016-01-03 04:30:00,KWH,35.555
215,2016-01-03 04:45:00,KWH,35.555
216,2016-01-03 05:00:00,KWH,35.555
217,2016-01-03 05:15:00,KWH,35.555
218,2016-01-03 05:30:00,KWH,35.555
219,2016-01-03 05:45:00,KWH,35.555
220,2016-01-03 06:00:00,KWH,35.555
221,2016-01-03 06:15:00,KWH,35.555
222,2016-01-03 06:30:00,KWH,35.555
223,2016-01-03 06:45:00,KWH,35.555
224,2016-01-03 07:00:00,KWH,35.555
225,2016-01-03 07:15:00,KWH,35.555
226,2016-01-03 07:30:00,KWH,35.555
227,2016-01-03 07:45:00,KWH,35.555
228,2016-01-03 08:00:00,KWH,35.555
229,2016-01-03 08:15:00,KWH,35.555
230,2016-01-03 08:30:00,KWH,35.555
231,2016-01-03 08:45:00,KWH,35.555
232,2016-01-03 09:00:00,KWH,35.555
233,2016-01-03 09:15:00,KWH,35.555
234,2016-01-03 09:30:00,KWH,35.555
235,2016-01-03 09:45:00,KWH,35.555
236,2016-01-03 10:00:00,KWH,35.555
237,2016-01-03 10:15:00,KWH,35.555
238,2016-01-03 10:15:59,KWH,35.555
239,2016-01-03 10:30:00,KWH,35.555
240,2016-01-03 10:45:00,KWH,35.555
241,2016-01-03 11:00:00,KWH,35.555
242,2016-01-03 11:15:00,KWH,35.555
243,2016-01-03 11:30:00,KWH,35.555
244,2016-01-03 11:45:00,KWH,35.555
245,2016-01-03 12:00:00,KWH,35.555
246,2016-01-03 12:15:00,KWH,35.555
247,2016-01-03 12:30:00,KWH,35.555
248,2016-01-03 12:45:00,KWH,35.555
249,2016-01-03 13:00:00,KWH,35.555
250,2016-01-03 13:15:00,KWH,35.555
251,2016-01-03 13:30:00,KWH,35.555
252,2016-01-03 13:45:00,KWH,35.555
253,2016-01-03 14:00:00,KWH,35.555
254,2016-01-03 14:15:00,KWH,35.555
255,2016-01-03 14:30:00,KWH,35.555
256,2016-01-03 14:45:00,KWH,35.555
257,2016-01-03 15:00:00,KWH,35.555
