,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,25.987
1,2016-01-01 00:15:00,KWH,25.991
2,2016-01-01 00:30:00,KWH,25.994
3,2016-01-01 00:45:00,KWH,25.994
4,2016-01-01 01:00:00,KWH,25.994
5,2016-01-01 01:30:00,KWH,25.995
6,2016-01-01 01:45:00,KWH,25.995
7,2016-01-01 02:00:00,KWH,25.995
8,2016-01-01 02:15:00,KWH,25.995
9,2016-01-01 02:30:00,KWH,25.995
10,2016-01-01 02:45:00,KWH,25.995
11,2016-01-01 03:00:00,KWH,25.995
12,2016-01-01 03:15:00,KWH,25.995
13,2016-01-01 03:30:00,KWH,25.995
14,2016-01-01 03:45:00,KWH,25.995
15,2016-01-01 04:00:00,KWH,25.995
16,2016-01-01 04:15:00,KWH,25.995
17,2016-01-01 04:30:00,KWH,25.995
18,2016-01-01 04:45:00,KWH,25.995
19,2016-01-01 05:00:00,KWH,25.995
20,2016-01-01 05:15:00,KWH,25.995
21,2016-01-01 05:30:00,KWH,25.995
22,2016-01-01 05:45:00,KWH,25.995
23,2016-01-01 06:00:00,KWH,25.995
24,2016-01-01 06:15:00,KWH,25.995
25,2016-01-01 06:30:00,KWH,25.995
26,2016-01-01 06:45:00,KWH,25.995
27,2016-01-01 07:00:00,KWH,25.995
28,2016-01-01 07:15:00,KWH,25.995
29,2016-01-01 07:30:00,KWH,25.995
30,2016-01-01 07:45:00,KWH,25.995
31,2016-01-01 08:00:00,KWH,25.995
32,2016-01-01 08:15:00,KWH,25.995
33,2016-01-01 08:30:00,KWH,25.995
34,2016-01-01 08:45:00,KWH,25.995
35,2016-01-01 09:00:00,KWH,25.995
36,2016-01-01 09:15:00,KWH,25.995
37,2016-01-01 09:30:00,KWH,25.995
38,2016-01-01 09:45:00,KWH,25.995
39,2016-01-01 10:00:00,KWH,25.995
40,2016-01-01 10:15:00,KWH,25.995
41,2016-01-01 10:30:00,KWH,25.995
42,2016-01-01 10:45:00,KWH,25.995
43,2016-01-01 11:00:00,KWH,25.995
44,2016-01-01 11:15:00,KWH,25.995
