,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,49.361
1,2016-01-01 00:15:00,KWH,49.365
2,2016-01-01 00:30:00,KWH,49.368
3,2016-01-01 00:45:00,KWH,49.372
4,2016-01-01 01:00:00,KWH,49.376
5,2016-01-01 01:30:00,KWH,49.383
6,2016-01-01 01:45:00,KWH,49.386
7,2016-01-01 02:00:00,KWH,49.390
8,2016-01-01 02:15:00,KWH,49.394
9,2016-01-01 02:30:00,KWH,49.398
10,2016-01-01 02:45:00,KWH,49.403
11,2016-01-01 03:00:00,KWH,49.410
12,2016-01-01 03:15:00,KWH,49.421
13,2016-01-01 03:30:00,KWH,49.433
14,2016-01-01 03:45:00,KWH,49.441
15,2016-01-01 04:00:00,KWH,49.448
16,2016-01-01 04:15:00,KWH,49.451
17,2016-01-01 04:30:00,KWH,49.453
18,2016-01-01 04:45:00,KWH,49.453
19,2016-01-01 05:00:00,KWH,49.453
20,2016-01-01 05:15:00,KWH,49.453
21,2016-01-01 05:30:00,KWH,49.453
22,2016-01-01 05:45:00,KWH,49.453
23,2016-01-01 06:00:00,KWH,49.453
24,2016-01-01 06:15:00,KWH,49.453
25,2016-01-01 06:30:00,KWH,49.453
26,2016-01-01 06:45:00,KWH,49.453
27,2016-01-01 07:00:00,KWH,49.453
28,2016-01-01 07:15:00,KWH,49.453
29,2016-01-01 07:30:00,KWH,49.453
30,2016-01-01 07:45:00,KWH,49.453
31,2016-01-01 08:00:00,KWH,49.453
32,2016-01-01 08:15:00,KWH,49.453
33,2016-01-01 08:30:00,KWH,49.453
34,2016-01-01 08:45:00,KWH,49.453
35,2016-01-01 09:00:00,KWH,49.453
36,2016-01-01 09:15:00,KWH,49.453
37,2016-01-01 09:30:00,KWH,49.453
38,2016-01-01 09:45:00,KWH,49.453
39,2016-01-01 10:00:00,KWH,49.453
40,2016-01-01 10:15:00,KWH,49.453
41,2016-01-01 10:30:00,KWH,49.453
42,2016-01-01 10:45:00,KWH,49.453
43,2016-01-01 11:00:00,KWH,49.453
44,2016-01-01 11:30:00,KWH,49.453
45,2016-01-01 11:45:00,KWH,49.453
46,2016-01-01 12:00:00,KWH,49.453
47,2016-01-01 12:15:00,KWH,49.453
48,2016-01-01 12:30:00,KWH,49.453
49,2016-01-01 12:45:00,KWH,49.453
50,2016-01-01 13:00:00,KWH,49.453
51,2016-01-01 13:15:00,KWH,49.453
52,2016-01-01 13:30:00,KWH,49.453
53,2016-01-01 13:45:00,KWH,49.453
54,2016-01-01 14:00:00,KWH,49.453
55,2016-01-01 14:15:00,KWH,49.453
56,2016-01-01 14:30:00,KWH,49.453
57,2016-01-01 14:45:00,KWH,49.453
58,2016-01-01 15:00:00,KWH,49.453
59,2016-01-01 15:15:00,KWH,49.453
60,2016-01-01 15:30:00,KWH,49.453
61,2016-01-01 15:45:00,KWH,49.453
62,2016-01-01 16:00:00,KWH,49.454
63,2016-01-01 16:15:00,KWH,49.457
64,2016-01-01 16:30:00,KWH,49.459
65,2016-01-01 16:45:00,KWH,49.461
66,2016-01-01 17:00:00,KWH,49.463
67,2016-01-01 17:15:00,KWH,49.465
68,2016-01-01 17:30:00,KWH,49.467
69,2016-01-01 17:45:00,KWH,49.474
70,2016-01-01 18:00:00,KWH,49.494
71,2016-01-01 18:15:00,KWH,49.515
