,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,337.509
1,2016-01-01 00:15:00,KWH,337.529
2,2016-01-01 00:30:00,KWH,337.549
3,2016-01-01 00:45:00,KWH,337.562
4,2016-01-01 01:00:00,KWH,337.570
5,2016-01-01 01:15:00,KWH,337.578
6,2016-01-01 01:30:00,KWH,337.585
7,2016-01-01 01:45:00,KWH,337.593
8,2016-01-01 02:00:00,KWH,337.601
9,2016-01-01 02:15:00,KWH,337.608
10,2016-01-01 02:30:00,KWH,337.616
11,2016-01-01 02:45:00,KWH,337.624
12,2016-01-01 03:00:00,KWH,337.632
13,2016-01-01 03:15:00,KWH,337.639
14,2016-01-01 03:30:00,KWH,337.644
15,2016-01-01 03:45:00,KWH,337.649
16,2016-01-01 04:00:00,KWH,337.653
17,2016-01-01 04:15:00,KWH,337.658
18,2016-01-01 04:30:00,KWH,337.661
19,2016-01-01 04:45:00,KWH,337.664
20,2016-01-01 05:00:00,KWH,337.666
21,2016-01-01 05:15:00,KWH,337.666
22,2016-01-01 05:30:00,KWH,337.711
23,2016-01-01 05:45:00,KWH,337.716
24,2016-01-01 06:00:00,KWH,337.740
25,2016-01-01 06:15:00,KWH,337.757
26,2016-01-01 06:30:00,KWH,337.770
27,2016-01-01 06:45:00,KWH,337.781
28,2016-01-01 07:00:00,KWH,337.784
29,2016-01-01 07:15:00,KWH,337.786
30,2016-01-01 07:30:00,KWH,337.788
31,2016-01-01 07:45:00,KWH,337.790
32,2016-01-01 08:00:00,KWH,337.791
33,2016-01-01 08:15:00,KWH,337.793
34,2016-01-01 08:30:00,KWH,337.794
35,2016-01-01 08:45:00,KWH,337.794
36,2016-01-01 09:00:00,KWH,337.794
37,2016-01-01 09:15:00,KWH,337.794
38,2016-01-01 09:30:00,KWH,337.801
39,2016-01-01 09:45:00,KWH,337.812
40,2016-01-01 10:00:00,KWH,337.819
41,2016-01-01 10:15:00,KWH,337.821
42,2016-01-01 10:30:00,KWH,337.823
43,2016-01-01 10:45:00,KWH,337.830
44,2016-01-01 11:00:00,KWH,337.840
45,2016-01-01 11:15:00,KWH,337.851
46,2016-01-01 11:30:00,KWH,337.858
47,2016-01-01 11:45:00,KWH,337.860
48,2016-01-01 12:00:00,KWH,337.863
49,2016-01-01 12:15:00,KWH,337.865
50,2016-01-01 12:30:00,KWH,337.867
51,2016-01-01 12:45:00,KWH,337.870
52,2016-01-01 13:00:00,KWH,337.872
53,2016-01-01 13:15:00,KWH,337.873
54,2016-01-01 13:30:00,KWH,337.875
55,2016-01-01 13:45:00,KWH,337.880
56,2016-01-01 14:00:00,KWH,337.891
57,2016-01-01 14:15:00,KWH,337.902
58,2016-01-01 14:30:00,KWH,337.913
59,2016-01-01 14:45:00,KWH,337.923
60,2016-01-01 15:00:00,KWH,337.934
61,2016-01-01 15:15:00,KWH,337.945
62,2016-01-01 15:30:00,KWH,337.956
63,2016-01-01 15:45:00,KWH,337.967
64,2016-01-01 16:00:00,KWH,337.983
65,2016-01-01 16:15:00,KWH,337.998
66,2016-01-01 16:30:00,KWH,338.019
67,2016-01-01 16:45:00,KWH,338.039
68,2016-01-01 17:00:00,KWH,338.050
69,2016-01-01 17:15:00,KWH,338.062
70,2016-01-01 17:30:00,KWH,338.074
71,2016-01-01 17:45:00,KWH,338.088
72,2016-01-01 18:00:00,KWH,338.102
73,2016-01-01 18:15:00,KWH,338.116
74,2016-01-01 18:30:00,KWH,338.131
75,2016-01-01 18:45:00,KWH,338.145
76,2016-01-01 19:00:00,KWH,338.155
77,2016-01-01 19:15:00,KWH,338.165
78,2016-01-01 19:30:00,KWH,338.174
79,2016-01-01 19:45:00,KWH,338.183
80,2016-01-01 20:00:00,KWH,338.193
81,2016-01-01 20:15:00,KWH,338.202
82,2016-01-01 20:30:00,KWH,338.211
83,2016-01-01 20:45:00,KWH,338.221
84,2016-01-01 21:00:00,KWH,338.230
85,2016-01-01 21:15:00,KWH,338.239
86,2016-01-01 21:30:00,KWH,338.249
87,2016-01-01 21:45:00,KWH,338.267
88,2016-01-01 22:00:00,KWH,338.292
89,2016-01-01 22:15:00,KWH,338.317
90,2016-01-01 22:30:00,KWH,338.342
91,2016-01-01 22:45:00,KWH,338.367
92,2016-01-01 23:00:00,KWH,338.391
93,2016-01-01 23:15:00,KWH,338.415
