,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,1.322
1,2016-01-01 00:15:00,KWH,1.322
2,2016-01-01 00:30:00,KWH,1.322
3,2016-01-01 00:45:00,KWH,1.322
4,2016-01-01 01:00:00,KWH,1.322
5,2016-01-01 01:15:00,KWH,1.322
6,2016-01-01 01:30:00,KWH,1.322
7,2016-01-01 01:45:00,KWH,1.322
8,2016-01-01 02:00:00,KWH,1.322
9,2016-01-01 02:15:00,KWH,1.322
10,2016-01-01 02:30:00,KWH,1.322
11,2016-01-01 02:45:00,KWH,1.322
12,2016-01-01 03:00:00,KWH,1.322
13,2016-01-01 03:15:00,KWH,1.322
14,2016-01-01 03:30:00,KWH,1.322
15,2016-01-01 03:45:00,KWH,1.322
16,2016-01-01 04:00:00,KWH,1.322
17,2016-01-01 04:15:00,KWH,1.322
18,2016-01-01 04:30:00,KWH,1.322
19,2016-01-01 04:45:00,KWH,1.322
20,2016-01-01 05:00:00,KWH,1.322
21,2016-01-01 05:15:00,KWH,1.322
22,2016-01-01 05:30:00,KWH,1.322
23,2016-01-01 06:00:00,KWH,1.322
24,2016-01-01 06:15:00,KWH,1.322
25,2016-01-01 06:30:00,KWH,1.322
26,2016-01-01 06:45:00,KWH,1.322
27,2016-01-01 07:00:00,KWH,1.322
28,2016-01-01 07:15:00,KWH,1.322
29,2016-01-01 07:30:00,KWH,1.322
30,2016-01-01 07:45:00,KWH,1.322
31,2016-01-01 08:00:00,KWH,1.322
32,2016-01-01 08:15:00,KWH,1.322
33,2016-01-01 08:30:00,KWH,1.322
34,2016-01-01 08:45:00,KWH,1.322
35,2016-01-01 09:00:00,KWH,1.322
36,2016-01-01 09:15:00,KWH,1.322
37,2016-01-01 09:30:00,KWH,1.322
38,2016-01-01 09:45:00,KWH,1.322
39,2016-01-01 10:00:00,KWH,1.322
40,2016-01-01 10:15:00,KWH,1.322
41,2016-01-01 10:30:00,KWH,1.322
42,2016-01-01 10:45:00,KWH,1.322
43,2016-01-01 11:00:00,KWH,1.322
44,2016-01-01 11:15:00,KWH,1.322
45,2016-01-01 11:30:00,KWH,1.322
46,2016-01-01 11:45:00,KWH,1.322
47,2016-01-01 12:00:00,KWH,1.322
48,2016-01-01 12:15:00,KWH,1.322
49,2016-01-01 12:30:00,KWH,1.322
50,2016-01-01 12:45:00,KWH,1.322
51,2016-01-01 13:00:00,KWH,1.322
52,2016-01-01 13:15:00,KWH,1.322
53,2016-01-01 13:30:00,KWH,1.322
54,2016-01-01 13:45:00,KWH,1.322
55,2016-01-01 14:00:00,KWH,1.322
56,2016-01-01 14:15:00,KWH,1.322
57,2016-01-01 14:30:00,KWH,1.322
58,2016-01-01 14:45:00,KWH,1.322
59,2016-01-01 15:00:00,KWH,1.322
60,2016-01-01 15:15:00,KWH,1.322
61,2016-01-01 15:30:00,KWH,1.322
62,2016-01-01 15:45:00,KWH,1.322
63,2016-01-01 16:00:00,KWH,1.322
64,2016-01-01 16:15:00,KWH,1.322
65,2016-01-01 16:30:00,KWH,1.322
66,2016-01-01 16:45:00,KWH,1.322
67,2016-01-01 17:00:00,KWH,1.322
68,2016-01-01 17:15:00,KWH,1.322
69,2016-01-01 17:30:00,KWH,1.322
70,2016-01-01 17:45:00,KWH,1.322
71,2016-01-01 18:00:00,KWH,1.322
72,2016-01-01 18:15:00,KWH,1.322
73,2016-01-01 18:30:00,KWH,1.322
74,2016-01-01 18:45:00,KWH,1.322
75,2016-01-01 19:00:00,KWH,1.322
76,2016-01-01 19:15:00,KWH,1.322
77,2016-01-01 19:15:59,KWH,1.322
78,2016-01-01 19:30:00,KWH,1.322
79,2016-01-01 19:45:00,KWH,1.322
80,2016-01-01 20:00:00,KWH,1.322
81,2016-01-01 20:15:00,KWH,1.322
82,2016-01-01 20:30:00,KWH,1.322
83,2016-01-01 20:45:00,KWH,1.322
84,2016-01-01 21:00:00,KWH,1.322
85,2016-01-01 21:15:00,KWH,1.322
86,2016-01-01 21:30:00,KWH,1.322
87,2016-01-01 21:45:00,KWH,1.322
88,2016-01-01 22:00:00,KWH,1.322
89,2016-01-01 22:15:00,KWH,1.322
90,2016-01-01 22:30:00,KWH,1.322
91,2016-01-01 22:45:00,KWH,1.322
92,2016-01-01 23:00:00,KWH,1.322
93,2016-01-01 23:15:00,KWH,1.322
94,2016-01-01 23:30:00,KWH,1.322
95,2016-01-01 23:45:00,KWH,1.322
96,2016-01-02 00:00:00,KWH,1.322
97,2016-01-02 00:15:00,KWH,1.322
98,2016-01-02 00:30:00,KWH,1.322
99,2016-01-02 00:45:00,KWH,1.322
100,2016-01-02 01:00:00,KWH,1.322
101,2016-01-02 01:15:00,KWH,1.322
102,2016-01-02 01:30:00,KWH,1.322
103,2016-01-02 01:45:00,KWH,1.322
104,2016-01-02 02:00:00,KWH,1.322
105,2016-01-02 02:15:00,KWH,1.322
106,2016-01-02 02:30:00,KWH,1.322
107,2016-01-02 02:45:00,KWH,1.322
108,2016-01-02 03:00:00,KWH,1.322
109,2016-01-02 03:15:00,KWH,1.322
110,2016-01-02 03:30:00,KWH,1.322
111,2016-01-02 04:00:00,KWH,1.322
112,2016-01-02 04:15:00,KWH,1.322
113,2016-01-02 04:30:00,KWH,1.322
114,2016-01-02 04:45:00,KWH,1.322
115,2016-01-02 05:00:00,KWH,1.322
116,2016-01-02 05:15:00,KWH,1.322
117,2016-01-02 05:30:00,KWH,1.322
118,2016-01-02 05:45:00,KWH,1.322
119,2016-01-02 06:00:00,KWH,1.322
120,2016-01-02 06:15:00,KWH,1.322
121,2016-01-02 06:30:00,KWH,1.322
122,2016-01-02 06:45:00,KWH,1.322
123,2016-01-02 07:00:00,KWH,1.322
124,2016-01-02 07:15:00,KWH,1.322
125,2016-01-02 07:30:00,KWH,1.322
126,2016-01-02 07:45:00,KWH,1.322
127,2016-01-02 08:00:00,KWH,1.322
128,2016-01-02 08:15:00,KWH,1.322
129,2016-01-02 08:30:00,KWH,1.322
130,2016-01-02 08:45:00,KWH,1.322
131,2016-01-02 09:00:00,KWH,1.322
132,2016-01-02 09:15:00,KWH,1.322
133,2016-01-02 09:30:00,KWH,1.322
134,2016-01-02 09:45:00,KWH,1.322
135,2016-01-02 10:00:00,KWH,1.322
136,2016-01-02 10:15:00,KWH,1.322
137,2016-01-02 10:30:00,KWH,1.322
138,2016-01-02 10:45:00,KWH,1.322
139,2016-01-02 11:00:00,KWH,1.322
140,2016-01-02 11:15:00,KWH,1.322
141,2016-01-02 11:30:00,KWH,1.322
142,2016-01-02 11:45:00,KWH,1.322
143,2016-01-02 12:00:00,KWH,1.322
144,2016-01-02 12:15:00,KWH,1.322
145,2016-01-02 12:30:00,KWH,1.322
146,2016-01-02 12:45:00,KWH,1.322
147,2016-01-02 13:00:00,KWH,1.322
148,2016-01-02 13:15:00,KWH,1.322
149,2016-01-02 13:30:00,KWH,1.322
150,2016-01-02 14:00:00,KWH,1.322
151,2016-01-02 14:15:00,KWH,1.322
152,2016-01-02 14:30:00,KWH,1.322
153,2016-01-02 14:45:00,KWH,1.322
154,2016-01-02 15:00:00,KWH,1.322
155,2016-01-02 15:15:00,KWH,1.322
156,2016-01-02 15:30:00,KWH,1.322
157,2016-01-02 15:45:00,KWH,1.322
158,2016-01-02 16:00:00,KWH,1.322
159,2016-01-02 16:15:00,KWH,1.322
160,2016-01-02 16:30:00,KWH,1.322
161,2016-01-02 16:45:00,KWH,1.322
162,2016-01-02 17:00:00,KWH,1.322
163,2016-01-02 17:15:00,KWH,1.322
164,2016-01-02 17:30:00,KWH,1.322
165,2016-01-02 17:45:00,KWH,1.322
166,2016-01-02 18:00:00,KWH,1.322
167,2016-01-02 18:15:00,KWH,1.322
168,2016-01-02 18:30:00,KWH,1.322
169,2016-01-02 18:45:00,KWH,1.322
170,2016-01-02 19:00:00,KWH,1.322
171,2016-01-02 19:15:00,KWH,1.322
172,2016-01-02 19:30:00,KWH,1.322
173,2016-01-02 19:45:00,KWH,1.322
174,2016-01-02 20:00:00,KWH,1.322
175,2016-01-02 20:15:00,KWH,1.322
176,2016-01-02 20:30:00,KWH,1.322
177,2016-01-02 20:45:00,KWH,1.322
178,2016-01-02 21:00:00,KWH,1.322
179,2016-01-02 21:15:00,KWH,1.322
180,2016-01-02 21:30:00,KWH,1.322
181,2016-01-02 21:45:00,KWH,1.322
182,2016-01-02 22:00:00,KWH,1.322
183,2016-01-02 22:15:00,KWH,1.322
184,2016-01-02 22:30:00,KWH,1.322
185,2016-01-02 22:45:00,KWH,1.322
186,2016-01-02 23:00:00,KWH,1.322
187,2016-01-02 23:15:00,KWH,1.322
188,2016-01-02 23:30:00,KWH,1.322
189,2016-01-02 23:45:00,KWH,1.322
190,2016-01-03 00:00:00,KWH,1.322
191,2016-01-03 00:15:00,KWH,1.322
192,2016-01-03 00:30:00,KWH,1.322
193,2016-01-03 00:45:00,KWH,1.322
194,2016-01-03 01:00:00,KWH,1.322
195,2016-01-03 01:15:00,KWH,1.322
196,2016-01-03 01:30:00,KWH,1.322
197,2016-01-03 01:45:00,KWH,1.322
198,2016-01-03 02:00:00,KWH,1.322
199,2016-01-03 02:15:00,KWH,1.322
200,2016-01-03 02:30:00,KWH,1.322
201,2016-01-03 02:45:00,KWH,1.322
202,2016-01-03 03:00:00,KWH,1.322
203,2016-01-03 03:15:00,KWH,1.322
204,2016-01-03 03:30:00,KWH,1.322
205,2016-01-03 03:45:00,KWH,1.322
206,2016-01-03 04:00:00,KWH,1.322
207,2016-01-03 04:15:00,KWH,1.322
208,2016-01-03 04:30:00,KWH,1.322
209,2016-01-03 04:45:00,KWH,1.322
210,2016-01-03 05:00:00,KWH,1.322
211,2016-01-03 05:15:00,KWH,1.322
212,2016-01-03 05:30:00,KWH,1.322
213,2016-01-03 05:45:00,KWH,1.322
214,2016-01-03 06:00:00,KWH,1.322
215,2016-01-03 06:15:00,KWH,1.322
216,2016-01-03 06:30:00,KWH,1.322
217,2016-01-03 07:00:00,KWH,1.322
218,2016-01-03 07:15:00,KWH,1.322
219,2016-01-03 07:30:00,KWH,1.322
220,2016-01-03 07:45:00,KWH,1.322
221,2016-01-03 08:00:00,KWH,1.322
222,2016-01-03 08:15:00,KWH,1.322
223,2016-01-03 08:30:00,KWH,1.322
224,2016-01-03 08:45:00,KWH,1.322
225,2016-01-03 09:00:00,KWH,1.322
226,2016-01-03 09:15:00,KWH,1.322
227,2016-01-03 09:30:00,KWH,1.322
228,2016-01-03 09:45:00,KWH,1.322
229,2016-01-03 10:00:00,KWH,1.322
230,2016-01-03 10:15:00,KWH,1.322
231,2016-01-03 10:30:00,KWH,1.322
232,2016-01-03 10:45:00,KWH,1.322
233,2016-01-03 11:00:00,KWH,1.322
234,2016-01-03 11:15:00,KWH,1.322
235,2016-01-03 11:30:00,KWH,1.322
236,2016-01-03 11:45:00,KWH,1.322
237,2016-01-03 12:00:00,KWH,1.322
238,2016-01-03 12:15:00,KWH,1.322
239,2016-01-03 12:30:00,KWH,1.322
240,2016-01-03 12:45:00,KWH,1.322
241,2016-01-03 13:00:00,KWH,1.322
242,2016-01-03 13:15:00,KWH,1.322
243,2016-01-03 13:30:00,KWH,1.322
244,2016-01-03 13:45:00,KWH,1.322
245,2016-01-03 14:00:00,KWH,1.322
246,2016-01-03 14:15:00,KWH,1.322
247,2016-01-03 14:30:00,KWH,1.322
248,2016-01-03 14:45:00,KWH,1.322
249,2016-01-03 15:00:00,KWH,1.322
250,2016-01-03 15:15:00,KWH,1.322
251,2016-01-03 15:30:00,KWH,1.322
252,2016-01-03 15:45:00,KWH,1.322
253,2016-01-03 16:15:00,KWH,1.322
254,2016-01-03 16:30:00,KWH,1.322
255,2016-01-03 16:45:00,KWH,1.322
256,2016-01-03 17:00:00,KWH,1.322
257,2016-01-03 17:15:00,KWH,1.322
258,2016-01-03 17:30:00,KWH,1.322
259,2016-01-03 17:45:00,KWH,1.322
260,2016-01-03 18:00:00,KWH,1.322
261,2016-01-03 18:15:00,KWH,1.322
262,2016-01-03 18:30:00,KWH,1.322
263,2016-01-03 18:45:00,KWH,1.322
264,2016-01-03 19:00:00,KWH,1.322
265,2016-01-03 19:15:00,KWH,1.322
266,2016-01-03 19:30:00,KWH,1.322
267,2016-01-03 19:45:00,KWH,1.322
268,2016-01-03 20:00:00,KWH,1.322
269,2016-01-03 20:15:00,KWH,1.322
270,2016-01-03 20:30:00,KWH,1.322
271,2016-01-03 20:45:00,KWH,1.322
272,2016-01-03 21:00:00,KWH,1.322
273,2016-01-03 21:15:00,KWH,1.322
274,2016-01-03 21:30:00,KWH,1.322
275,2016-01-03 21:45:00,KWH,1.322
276,2016-01-03 22:00:00,KWH,1.322
277,2016-01-03 22:15:00,KWH,1.322
278,2016-01-03 22:30:00,KWH,1.322
279,2016-01-03 22:45:00,KWH,1.322
280,2016-01-03 23:00:00,KWH,1.322
281,2016-01-03 23:15:00,KWH,1.322
282,2016-01-03 23:30:00,KWH,1.322
283,2016-01-03 23:45:00,KWH,1.322
284,2016-01-04 00:00:00,KWH,1.322
285,2016-01-04 00:15:00,KWH,1.322
286,2016-01-04 00:30:00,KWH,1.322
287,2016-01-04 00:45:00,KWH,1.322
288,2016-01-04 01:00:00,KWH,1.322
289,2016-01-04 01:15:00,KWH,1.322
290,2016-01-04 01:30:00,KWH,1.322
291,2016-01-04 01:45:00,KWH,1.322
292,2016-01-04 02:00:00,KWH,1.322
293,2016-01-04 02:15:00,KWH,1.322
294,2016-01-04 02:30:00,KWH,1.322
295,2016-01-04 02:45:00,KWH,1.322
296,2016-01-04 03:00:00,KWH,1.322
297,2016-01-04 03:15:00,KWH,1.322
298,2016-01-04 03:30:00,KWH,1.322
299,2016-01-04 03:45:00,KWH,1.322
300,2016-01-04 04:00:00,KWH,1.322
301,2016-01-04 04:15:00,KWH,1.322
302,2016-01-04 04:30:00,KWH,1.322
303,2016-01-04 04:45:00,KWH,1.322
304,2016-01-04 05:00:00,KWH,1.322
