,DT,TYPE,VALUE
0,2016-01-01 00:00:00,KWH,33.113
1,2016-01-01 00:15:00,KWH,33.116
2,2016-01-01 00:30:00,KWH,33.118
3,2016-01-01 00:45:00,KWH,33.120
4,2016-01-01 01:00:00,KWH,33.120
5,2016-01-01 01:15:00,KWH,33.120
6,2016-01-01 01:30:00,KWH,33.120
7,2016-01-01 01:45:00,KWH,33.120
8,2016-01-01 02:00:00,KWH,33.120
9,2016-01-01 02:15:00,KWH,33.120
10,2016-01-01 02:30:00,KWH,33.120
11,2016-01-01 02:45:00,KWH,33.120
12,2016-01-01 03:00:00,KWH,33.120
13,2016-01-01 03:15:00,KWH,33.120
14,2016-01-01 03:30:00,KWH,33.120
15,2016-01-01 03:45:00,KWH,33.120
16,2016-01-01 04:00:00,KWH,33.120
17,2016-01-01 04:15:00,KWH,33.120
18,2016-01-01 04:30:00,KWH,33.120
19,2016-01-01 04:45:00,KWH,33.120
20,2016-01-01 05:00:00,KWH,33.120
21,2016-01-01 05:15:00,KWH,33.120
22,2016-01-01 05:30:00,KWH,33.120
23,2016-01-01 05:45:00,KWH,33.120
24,2016-01-01 06:00:00,KWH,33.120
25,2016-01-01 06:15:00,KWH,33.120
26,2016-01-01 06:30:00,KWH,33.120
27,2016-01-01 06:45:00,KWH,33.120
28,2016-01-01 07:00:00,KWH,33.120
29,2016-01-01 07:15:00,KWH,33.120
30,2016-01-01 07:30:00,KWH,33.120
31,2016-01-01 07:45:00,KWH,33.120
32,2016-01-01 08:00:00,KWH,33.120
33,2016-01-01 08:15:00,KWH,33.120
34,2016-01-01 08:30:00,KWH,33.120
35,2016-01-01 08:45:00,KWH,33.120
36,2016-01-01 09:00:00,KWH,33.120
37,2016-01-01 09:15:00,KWH,33.120
38,2016-01-01 09:30:00,KWH,33.120
39,2016-01-01 09:45:00,KWH,33.120
40,2016-01-01 10:00:00,KWH,33.120
41,2016-01-01 10:15:00,KWH,33.120
42,2016-01-01 10:30:00,KWH,33.120
43,2016-01-01 10:45:00,KWH,33.120
44,2016-01-01 11:00:00,KWH,33.120
45,2016-01-01 11:15:00,KWH,33.120
46,2016-01-01 11:30:00,KWH,33.120
47,2016-01-01 11:45:00,KWH,33.120
48,2016-01-01 12:00:00,KWH,33.120
49,2016-01-01 12:15:00,KWH,33.120
50,2016-01-01 12:30:00,KWH,33.120
51,2016-01-01 12:45:00,KWH,33.120
52,2016-01-01 13:00:00,KWH,33.120
53,2016-01-01 13:15:00,KWH,33.120
54,2016-01-01 13:30:00,KWH,33.120
55,2016-01-01 13:45:00,KWH,33.120
56,2016-01-01 14:00:00,KWH,33.120
57,2016-01-01 14:15:00,KWH,33.120
58,2016-01-01 14:30:00,KWH,33.120
59,2016-01-01 14:45:00,KWH,33.120
60,2016-01-01 15:00:00,KWH,33.120
61,2016-01-01 15:15:00,KWH,33.120
62,2016-01-01 15:30:00,KWH,33.120
63,2016-01-01 15:45:00,KWH,33.120
64,2016-01-01 16:00:00,KWH,33.120
65,2016-01-01 16:15:00,KWH,33.120
66,2016-01-01 16:30:00,KWH,33.121
67,2016-01-01 16:45:00,KWH,33.124
68,2016-01-01 17:00:00,KWH,33.127
69,2016-01-01 17:15:00,KWH,33.130
70,2016-01-01 17:30:00,KWH,33.133
71,2016-01-01 17:45:00,KWH,33.136
72,2016-01-01 18:00:00,KWH,33.139
73,2016-01-01 18:15:00,KWH,33.141
74,2016-01-01 18:30:00,KWH,33.144
75,2016-01-01 18:45:00,KWH,33.147
76,2016-01-01 19:00:00,KWH,33.150
77,2016-01-01 19:15:00,KWH,33.153
78,2016-01-01 19:30:00,KWH,33.156
79,2016-01-01 19:45:00,KWH,33.158
80,2016-01-01 20:00:00,KWH,33.161
81,2016-01-01 20:15:00,KWH,33.164
82,2016-01-01 20:30:00,KWH,33.167
83,2016-01-01 20:45:00,KWH,33.169
84,2016-01-01 21:00:00,KWH,33.172
85,2016-01-01 21:15:00,KWH,33.174
86,2016-01-01 21:30:00,KWH,33.177
87,2016-01-01 21:45:00,KWH,33.180
88,2016-01-01 22:00:00,KWH,33.182
89,2016-01-01 22:15:00,KWH,33.185
90,2016-01-01 22:30:00,KWH,33.188
91,2016-01-01 22:45:00,KWH,33.190
92,2016-01-01 23:00:00,KWH,33.193
93,2016-01-01 23:15:00,KWH,33.196
94,2016-01-01 23:30:00,KWH,33.198
95,2016-01-01 23:45:00,KWH,33.201
96,2016-01-02 00:00:00,KWH,33.204
97,2016-01-02 00:15:00,KWH,33.206
98,2016-01-02 00:30:00,KWH,33.209
99,2016-01-02 00:45:00,KWH,33.211
100,2016-01-02 01:00:00,KWH,33.214
101,2016-01-02 01:15:00,KWH,33.217
102,2016-01-02 01:30:00,KWH,33.219
103,2016-01-02 01:45:00,KWH,33.222
104,2016-01-02 02:00:00,KWH,33.222
105,2016-01-02 02:15:00,KWH,33.222
106,2016-01-02 02:30:00,KWH,33.222
