Appliance,"Avg. Wattage
(Watts)
","Avg.Time Use
(Hours)
","Kwh
(Energy)
Per Day
"
Microwave,1200,0.16,0.192
Laptop,60,3,0.18
Cell Phone,5,3,0.015
TV,80,2.5,0.2
Game System,100,2,0.2
Toaster,1200,0.03,0.036
Other ,100,0.16,0.176
Total,,,0.999
