TimeStamp,Demand (kW)
2/13/2017 13:40,55.52000046
2/13/2017 13:45,74.98000336
2/13/2017 13:50,56.50999832
2/13/2017 13:55,53.34000015
2/13/2017 14:00,54.40000153
2/13/2017 14:05,54.72000122
2/13/2017 14:10,56.45000076
2/13/2017 14:15,56.77000046
2/13/2017 14:20,56.29000092
2/13/2017 14:25,56.13000107
2/13/2017 14:30,55.97000122
2/13/2017 14:35,55.97000122
2/13/2017 14:40,56.38000107
2/13/2017 14:45,55.65000153
2/13/2017 14:50,55.65000153
2/13/2017 14:55,55.65000153
2/13/2017 15:00,56.90000153
2/13/2017 15:05,55.86999893
2/13/2017 15:10,56.83000183
2/13/2017 15:15,57.75999832
2/13/2017 15:20,56.74000168
2/13/2017 15:25,56.29000092
2/13/2017 15:30,56.15999985
2/13/2017 15:35,62.90999985
2/13/2017 15:40,55.38999939
2/13/2017 15:45,56.63999939
2/13/2017 15:50,56.29000092
2/13/2017 15:55,57.65999985
2/13/2017 16:00,56.79999924
2/13/2017 16:05,57.43999863
2/13/2017 16:10,65.41000366
2/13/2017 16:15,57.38000107
2/13/2017 16:20,57.70000076
2/13/2017 16:25,57.34000015
2/13/2017 16:30,57.97999954
2/13/2017 16:35,57.86000061
2/13/2017 16:40,57.79000092
2/13/2017 16:45,56.99000168
2/13/2017 16:50,56.70000076
2/13/2017 16:55,55.93999863
2/13/2017 17:00,60.66999817
2/13/2017 17:05,54.72000122
2/13/2017 17:10,54.56000137
2/13/2017 17:15,54.36999893
2/13/2017 17:20,54.34000015
2/13/2017 17:25,54.29999924
2/13/2017 17:30,60.54000092
2/13/2017 17:35,53.81999969
2/13/2017 17:40,58.08000183
2/13/2017 17:45,58.45999908
2/13/2017 17:50,59.68000031
2/13/2017 17:55,60.74000168
2/13/2017 18:00,61.09000015
2/13/2017 18:05,60.54000092
2/13/2017 18:10,61.25
2/13/2017 18:15,61.15000153
2/13/2017 18:20,60.95999908
2/13/2017 18:25,61.15000153
2/13/2017 18:30,66.81999969
2/13/2017 18:35,61.27999878
2/13/2017 18:40,60.79999924
2/13/2017 18:45,60.61000061
2/13/2017 18:50,60.41999817
2/13/2017 18:55,69.15000153
2/13/2017 19:00,60.70000076
2/13/2017 19:05,61.86000061
2/13/2017 19:10,61.72999954
2/13/2017 19:15,62.18000031
2/13/2017 19:20,61.56999969
2/13/2017 19:25,61.06000137
2/13/2017 19:30,60.86000061
2/13/2017 19:35,61.02000046
2/13/2017 19:40,61.25
2/13/2017 19:45,60.86000061
2/13/2017 19:50,60.86000061
2/13/2017 19:55,60.95999908
2/13/2017 20:00,60.45000076
2/13/2017 20:05,61.02000046
2/13/2017 20:10,60.99000168
2/13/2017 20:15,61.25
2/13/2017 20:20,61.54000092
2/13/2017 20:25,61.27999878
2/13/2017 20:30,61.38000107
2/13/2017 20:35,60.99000168
2/13/2017 20:40,60.95999908
2/13/2017 20:45,60.83000183
2/13/2017 20:50,60.61000061
2/13/2017 20:55,60.99000168
2/13/2017 21:00,60.54000092
2/13/2017 21:05,60.45000076
2/13/2017 21:10,59.90000153
2/13/2017 21:15,60
2/13/2017 21:20,59.90000153
2/13/2017 21:25,60.18999863
2/13/2017 21:30,59.54999924
2/13/2017 21:35,59.65000153
2/13/2017 21:40,59.20000076
2/13/2017 21:45,59.58000183
2/13/2017 21:50,59.54999924
2/13/2017 21:55,59.29999924
2/13/2017 22:00,59.45999908
2/13/2017 22:05,59.58000183
2/13/2017 22:10,59.41999817
2/13/2017 22:15,59.68000031
2/13/2017 22:20,59.77999878
2/13/2017 22:25,59.97000122
2/13/2017 22:30,57.47000122
2/13/2017 22:35,56.45000076
2/13/2017 22:40,56.47999954
2/13/2017 22:45,56.58000183
2/13/2017 22:50,56.38000107
2/13/2017 22:55,56.25999832
2/13/2017 23:00,56.29000092
2/13/2017 23:05,56.61000061
2/13/2017 23:10,56.45000076
2/13/2017 23:15,56.50999832
2/13/2017 23:20,56.41999817
2/13/2017 23:25,56.74000168
2/13/2017 23:30,56.47999954
2/13/2017 23:35,56.41999817
2/13/2017 23:40,56.45000076
2/13/2017 23:45,56.47999954
2/13/2017 23:50,56.45000076
2/13/2017 23:55,56.41999817
2/14/2017 0:00,16.67000008
2/14/2017 0:05,46.72000122
